Genre,Quantity,Avg_Rating,Avg_Runtime
Action,4960,6.0072177419354835,111.74173387096774
Adventure,2621,6.0847004959938955,104.41816100724914
Animation,906,6.684878587196468,89.95695364238411
Biography,1121,6.853077609277431,117.36931311329171
Comedy,8933,6.136493899026083,102.25053173625882
Crime,3869,6.319591625743086,107.46627035409666
Drama,13453,6.542681929681112,110.22805322232959
Family,991,6.094550958627648,101.67406659939455
Fantasy,1441,5.9674531575294925,103.30950728660652
History,723,6.785338865836791,122.27662517289073
Horror,3123,5.318860070445084,94.76336855587576
Music,631,6.483042789223455,107.31854199683043
Musical,288,6.492361111111112,130.13888888888889
Mystery,1835,6.067901907356949,104.33569482288829
Romance,4239,6.358740268931352,109.30054258079736
Sci_Fi,1298,5.622573189522343,100.72650231124807
Sport,425,6.324941176470589,108.99764705882353
Thriller,3976,5.928521126760564,104.27565392354124
War,451,6.766962305986697,116.13303769401331
Western,114,6.128947368421052,106.0
