Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
Psych-Out,https://www.imdb.com/title/tt0063469/,6.0,2331,101.0,['Drama'],Not Rated,,IMDB
Romeo and Juliet,https://www.imdb.com/title/tt0063518/,7.6,28798,138.0,"['Drama', 'Romance']",PG,,IMDB
Coogan's Bluff,https://www.imdb.com/title/tt0062824/,6.5,15249,93.0,"['Action', 'Comedy', 'Crime']",R,,IMDB
Day of the Evil Gun,https://www.imdb.com/title/tt0062865/,6.4,1121,95.0,['Western'],Approved,,IMDB
The Scalphunters,https://www.imdb.com/title/tt0063557/,6.8,3128,102.0,"['Comedy', 'Western']",Not Rated,,IMDB
Yabu no naka no kuroneko,https://www.imdb.com/title/tt0122136/,7.7,5967,99.0,"['Drama', 'Horror']",Not Rated,,IMDB
Madigan,https://www.imdb.com/title/tt0063256/,6.5,3226,101.0,"['Crime', 'Drama', 'Thriller']",TV-14,,IMDB
The Power,https://www.imdb.com/title/tt0063452/,6.0,1377,108.0,"['Sci-Fi', 'Thriller']",Not Rated,,IMDB
Hour of the Wolf,https://www.imdb.com/title/tt0063759/,7.6,17829,90.0,"['Drama', 'Horror']",Not Rated,,IMDB
Il giorno della civetta,https://www.imdb.com/title/tt0063010/,7.0,1150,108.0,"['Crime', 'Drama', 'Mystery']",M,,IMDB
Inspector Clouseau,https://www.imdb.com/title/tt0063135/,4.9,2355,96.0,"['Comedy', 'Crime', 'Mystery']",G,35.0,IMDB
Alexandre le bienheureux,https://www.imdb.com/title/tt0061343/,7.4,1896,100.0,"['Comedy', 'Drama']",G,,IMDB
Planet of the Apes,https://www.imdb.com/title/tt0063442/,8.0,162433,112.0,"['Adventure', 'Sci-Fi']",G,79.0,IMDB
Dark of the Sun,https://www.imdb.com/title/tt0062863/,6.9,2555,100.0,"['Action', 'Adventure', 'Drama']",Approved,,IMDB
The Anniversary,https://www.imdb.com/title/tt0062671/,7.0,2167,95.0,"['Comedy', 'Drama', 'Thriller']",Approved,,IMDB
K̫shikei,https://www.imdb.com/title/tt0063198/,7.5,2159,117.0,"['Comedy', 'Crime', 'Drama']",Not Rated,,IMDB
The Chronicle of Anna Magdalena Bach,https://www.imdb.com/title/tt0062804/,7.0,1290,94.0,"['Biography', 'Drama', 'History']",,,IMDB
The Blood Beast Terror,https://www.imdb.com/title/tt0061411/,5.2,1261,88.0,['Horror'],G,,IMDB
The Secret War of Harry Frigg,https://www.imdb.com/title/tt0063573/,6.4,1342,110.0,"['Comedy', 'War']",Not Rated,,IMDB
"Django, Prepare a Coffin",https://www.imdb.com/title/tt0062151/,6.5,2278,92.0,"['Western', 'Action']",Not Rated,,IMDB
Danger: Diabolik,https://www.imdb.com/title/tt0062861/,6.5,5682,105.0,"['Action', 'Comedy', 'Crime']",Not Rated,,IMDB
Firecreek,https://www.imdb.com/title/tt0062975/,6.9,3099,104.0,"['Drama', 'Romance', 'Western']",Approved,,IMDB
O striglos pou egine arnaki,https://www.imdb.com/title/tt0136551/,6.8,1012,80.0,['Comedy'],,,IMDB
Blackbeard's Ghost,https://www.imdb.com/title/tt0062737/,6.9,5054,106.0,"['Comedy', 'Family', 'Fantasy']",Approved,71.0,IMDB
Death Laid an Egg,https://www.imdb.com/title/tt0061994/,6.0,1129,86.0,['Thriller'],,,IMDB
David Holzman's Diary,https://www.imdb.com/title/tt0062864/,6.6,1444,74.0,"['Comedy', 'Drama']",Not Rated,,IMDB
The Commissar,https://www.imdb.com/title/tt0061876/,7.5,1343,110.0,"['Drama', 'War']",,,IMDB
Zatoichi Challenged,https://www.imdb.com/title/tt0063834/,7.6,1111,87.0,"['Drama', 'Adventure', 'Action']",Not Rated,,IMDB
Weekend,https://www.imdb.com/title/tt0062480/,7.2,12803,105.0,"['Adventure', 'Comedy', 'Drama']",Not Rated,,IMDB
Kad budem mrtav i beo,https://www.imdb.com/title/tt0061855/,8.2,1024,79.0,"['Drama', 'Music']",,,IMDB
"Spider Baby or, the Maddest Story Ever Told",https://www.imdb.com/title/tt0058606/,6.9,5929,81.0,"['Comedy', 'Horror']",Not Rated,,IMDB
The President's Analyst,https://www.imdb.com/title/tt0062153/,6.9,2948,103.0,"['Comedy', 'Sci-Fi', 'Thriller']",Not Rated,,IMDB
Day of Anger,https://www.imdb.com/title/tt0061709/,7.1,3930,111.0,"['Action', 'Western']",M/PG,,IMDB
The Ambushers,https://www.imdb.com/title/tt0062657/,5.4,1632,102.0,"['Action', 'Comedy', 'Sci-Fi']",Not Rated,,IMDB
The Graduate,https://www.imdb.com/title/tt0061722/,8.0,249170,106.0,"['Comedy', 'Drama', 'Romance']",PG,83.0,IMDB
Fitzwilly,https://www.imdb.com/title/tt0061669/,6.7,1225,102.0,"['Comedy', 'Romance']",Not Rated,,IMDB
Ast̩rix le Gaulois,https://www.imdb.com/title/tt0061369/,6.6,9476,68.0,"['Animation', 'Action', 'Adventure']",,,IMDB
Playtime,https://www.imdb.com/title/tt0062136/,7.9,18606,155.0,['Comedy'],Not Rated,,IMDB
Son of Godzilla,https://www.imdb.com/title/tt0061856/,5.3,3805,84.0,"['Action', 'Adventure', 'Family']",PG,,IMDB
Valley of the Dolls,https://www.imdb.com/title/tt0062430/,6.0,7260,123.0,"['Drama', 'Music', 'Romance']",PG-13,49.0,IMDB
The Firemen's Ball,https://www.imdb.com/title/tt0061781/,7.5,9065,73.0,"['Comedy', 'Drama']",Not Rated,,IMDB
Carry on Doctor,https://www.imdb.com/title/tt0061450/,6.5,3279,94.0,['Comedy'],PG,,IMDB
Will Penny,https://www.imdb.com/title/tt0063811/,7.1,3999,108.0,"['Romance', 'Western']",Approved,,IMDB
In Cold Blood,https://www.imdb.com/title/tt0061809/,7.9,23380,134.0,"['Biography', 'Crime', 'Drama']",R,89.0,IMDB
Follow That Camel,https://www.imdb.com/title/tt0061680/,6.1,2080,95.0,"['Adventure', 'Comedy', 'Romance']",Not Rated,,IMDB
