Title_(RT),RT_critic,RT_critic_votes,RT_audience,RT_audience_votes
Bilitis,N/A,N/A,32%,399
The Many Adventures of Winnie the Pooh (no page found),N/A,N/A,N/A,N/A
Airport '77,33%,9,33%,"8,510"
Shatranj Ke Khilari (no page found),N/A,N/A,N/A,N/A
"Alucarda, la hija de las tinieblas (Sisters of Satan) (Innocents from Hell) (Mark of the Devil 3)",N/A,N/A,N/A,N/A
"One Sings, the Other Doesn't (L'Une chante, l'autre pas)",80%,15,76%,55
Islands in the Stream,N/A,N/A,N/A,N/A
Hitch-Hike,N/A,N/A,69%,80
Mr. Billion (The Windfall),N/A,N/A,6%,85
GÃÂÃÂ¼len GÃÂÃÂ¶zler (no page found),N/A,N/A,N/A,N/A
Hababam Sinifi Tatilde (no page found),N/A,N/A,N/A,N/A
Tentacles,0%,8,9%,380
Slap Shot,85%,33,89%,"39,959"
Czlowiek z Marmuru (Man of Marble),71%,7,85%,908
Executioners from Shaolin,N/A,N/A,N/A,N/A
The Late Show,95%,19,79%,"1,139"
Twilight's Last Gleaming,80%,10,74%,722
Fun With Dick and Jane,28%,134,49%,"759,472"
Jungle Holocaust (Ultimo mondo cannibale) (Cannibal) (Carnivorous) (Last Cannibal World),N/A,N/A,52%,"3,110"
Suspiria,65%,321,66%,"2,653"
Hababam Sinifi Uyaniyor (no page found),N/A,N/A,N/A,N/A
Wizards,59%,27,70%,"8,391"
L'ultima orgia del III Reich (no page found),N/A,N/A,N/A,N/A
Camouflage,N/A,N/A,N/A,N/A
Cross of Iron,75%,16,87%,"7,544"
Családi tüzfészek (Family Nest),80%,5,76%,237
Providence,80%,10,88%,790
"Ilsa: Absolute Power (Greta - Haus ohne Männer) (Greta the Torturer) (Ilsa, the Wicked Warden) (Greta, the Mad Butcher) (Greta, the Sadist)",N/A,N/A,32%,"1,315"
Sweeney! (no page found),N/A,N/A,N/A,N/A
The Sentinel,45%,20,44%,"2,886"
Aile Serefi (no page found),N/A,N/A,N/A,N/A
Nereye Bakiyor Bu Adamlar (no page found),N/A,N/A,N/A,N/A
Hasip ile Nasip (no page found),N/A,N/A,N/A,N/A
Devlerin Aski (no page found),N/A,N/A,N/A,N/A
SÃÂÃÂ¼t Kardesler (no page found),N/A,N/A,N/A,N/A
Sahte Kabadayi (no page found),N/A,N/A,N/A,N/A
Merakli KÃÂÃÂ¶fteci (no page found),N/A,N/A,N/A,N/A
Kapicilar krali,N/A,N/A,N/A,N/A
Ta Paidia tou Diavolou (Island of Death)(Psychic Killer 2)(Cruel Destination),N/A,N/A,25%,475
A Real Young Girl (no page found),N/A,N/A,N/A,N/A
Satan's Slave (no page found),N/A,N/A,N/A,N/A
Al-risÃÂÃÂ¢lah (no page found),N/A,N/A,N/A,N/A
Diamante Lobo (no page found),N/A,N/A,N/A,N/A
Insiang,100%,8,96%,373
The Eagle Has Landed (no page found),N/A,N/A,N/A,N/A
The Town That Dreaded Sundown,66%,29,40%,"3,430"
"Il signor Robinson, mostruosa storia d'amore e d'avventure (no page found)",N/A,N/A,N/A,N/A
Nickelodeon,10%,10,47%,395
Mikey and Nicky,85%,20,82%,795
Voyage of the Damned,83%,12,53%,491
Drive-In Massacre,N/A,N/A,5%,758
Natvris khe (The Tree of Desire) (The Wishing Tree),N/A,N/A,96%,178
The Cassandra Crossing,30%,10,52%,"2,652"
Freaky Friday,88%,155,57%,"932,365"
A Star Is Born,90%,511,79%,"20,284"
The Shaggy D.A. (no page found),N/A,N/A,N/A,N/A
The Enforcer,70%,33,59%,"15,999"
The Pink Panther Strikes Again (no page found),N/A,N/A,N/A,N/A
The Toy (no page found),N/A,N/A,N/A,N/A
Fellini's Casanova (no page found),N/A,N/A,N/A,N/A
The Scar (no page found),N/A,N/A,N/A,N/A
Bound for Glory,86%,21,77%,"1,386"
The Silver Streak,N/A,N/A,N/A,N/A
Reisen til julestjernen (Journey to the Christmas Star),N/A,N/A,50%,28
Keoma (Django's Great Return) (The Violent Breed),N/A,N/A,73%,777
Dona Flor e Seus Dois Maridos (Dona Flor and Her Two Husbands),80%,5,60%,346
Rocky (no page found),N/A,N/A,N/A,N/A
Storm Boy,N/A,N/A,75%,413
The Last Tycoon,N/A,N/A,61%,180
Lager SSadis Kastrat Kommandantur (no page found),N/A,N/A,N/A,N/A
Suburban Roulette,N/A,N/A,83%,"1,188"
Network,91%,66,93%,"36,350"
Heart of Glass (Herz aus Glas),92%,12,72%,"3,116"
"Alice, Sweet Alice (Communion)",82%,11,61%,"7,339"
Two Minute Warning,25%,12,39%,116
Shaolin Wooden Men (Shao Lin mu ren xiang) (36 Wooden Men) (Shaolin Chamber of Death),N/A,N/A,50%,348
Massacre at Central High,71%,7,53%,630
Don's Party,N/A,N/A,65%,"1,091"
Bloodsucking Freaks,29%,7,46%,"3,916"
Carrie,50%,182,44%,"82,139"
Up! (no page found),N/A,N/A,N/A,N/A
Eaten Alive,33%,15,30%,"3,386"
Carry on England,N/A,N/A,26%,652
Febbre da cavallo,N/A,N/A,N/A,N/A
Il Deserto dei Tartari (The Desert of the Tartars),N/A,N/A,82%,327
L'Aile Ou la Cuisse,N/A,N/A,83%,"2,887"
The Seven-Per-Cent Solution (no page found),N/A,N/A,N/A,N/A
God Told Me To,73%,11,52%,"1,992"
Brunet wieczorowa pora (no page found),N/A,N/A,N/A,N/A
Car Wash,88%,24,60%,"8,268"
Le corps de mon ennemi (no page found),N/A,N/A,N/A,N/A
Assault on Precinct 13,59%,165,48%,"94,491"
Az ÃÂÃÂ¶tÃÂÃÂ¶dik pecsÃÂÃÂ©t (no page found),N/A,N/A,N/A,N/A
Satansbraten (Satan's Brew),75%,8,79%,503
La flÃÂÃÂ»te ÃÂÃÂ  six schtroumpfs (no page found),N/A,N/A,N/A,N/A
Marathon Man,80%,41,81%,"22,571"
Human Tornado,80%,5,70%,"2,038"
Olsen-banden ser rÃÂÃÂ¸dt (no page found),N/A,N/A,N/A,N/A
"Marecku, podejte mi pero! (no page found)",N/A,N/A,N/A,N/A
Man on the Roof,N/A,N/A,89%,716
The Front (no page found),N/A,N/A,N/A,N/A
A Slave of Love (no page found),N/A,N/A,N/A,N/A
Giv'at Halfon Eina Ona (no page found),N/A,N/A,N/A,N/A
Jack the Ripper (Der Dirnenmörder von London),N/A,N/A,36%,289
Un éléphant ça trompe énormément (Pardon Mon Affaire) (An Elephant Can Be Extremely Deceptive),N/A,N/A,72%,177
Noirs et Blancs en Couleur (Black and White in Color),100%,5,68%,440
Ma ma,25%,44,45%,321
King Kong,84%,266,50%,"33,766,734"
Na samote u lesa,N/A,N/A,89%,313
Gator,0%,6,43%,"2,398"
The House of the Laughing Windows (no page found),N/A,N/A,N/A,N/A
Coup de GrÃÂÃÂ¢ce (no page found),N/A,N/A,N/A,N/A
Sebastiane,86%,7,56%,"1,190"
Futureworld,33%,12,31%,978
The Ritz (no page found),N/A,N/A,N/A,N/A
The Big Racket,N/A,N/A,76%,547
Obsession (American Dream),N/A,N/A,N/A,N/A
St. Ives,44%,9,39%,162
At the Earth's Core,25%,8,34%,"2,858"
Squirm,36%,14,26%,"2,950"
The Message,N/A,N/A,92%,"6,256"
Swashbuckler,44%,9,57%,"1,469"
Lifeguard,40%,5,74%,512
The Gumball Rally,30%,10,65%,"4,408"
The Ape (Apan),100%,8,56%,228
The Shootist (no page found),N/A,N/A,N/A,N/A
The Bingo Long Traveling All-Stars & Motor Kings,88%,17,68%,318
Shao Lin men (no page found),N/A,N/A,N/A,N/A
Mad Dog Morgan,N/A,N/A,41%,292
New Fist of Fury (Xin jing wu men),N/A,N/A,22%,389
Gus,N/A,N/A,60%,686
Cannonball! (no page found),N/A,N/A,N/A,N/A
The Return of a Man Called Horse (no page found),N/A,N/A,N/A,N/A
The Outlaw Josey Wales,90%,40,92%,"46,772"
The Omen,N/A,N/A,N/A,N/A
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",67%,15,49%,"2,110"
Murder by Death,65%,20,83%,"13,107"
Logan's Run,62%,34,67%,"44,730"
The Great Scout & Cathouse Thursday (no page found),N/A,N/A,N/A,N/A
The Big Bus (no page found),N/A,N/A,N/A,N/A
Midway,47%,15,72%,"7,173"
The Food of the Gods,24%,17,26%,820
Silent Movie,80%,25,72%,"13,240"
Ode to Billy Joe,20%,5,80%,912
Track of the Moon Beast,N/A,N/A,N/A,N/A
The Little Girl Who Lives Down the Lane (no page found),N/A,N/A,N/A,N/A
Duelle (no page found),N/A,N/A,N/A,N/A
Bugsy Malone,83%,24,81%,"21,637"
"Mother, Jugs and Speed",47%,15,54%,"3,187"
"Brutti, sporchi e cattivi (no page found)",N/A,N/A,N/A,N/A
The Tenant,N/A,N/A,16%,87
Mr. Klein,100%,12,87%,759
Embryo,N/A,N/A,16%,502
1900 (Novecento),58%,19,85%,"7,006"
The Marquise of O (no page found),N/A,N/A,N/A,N/A
Aces High,N/A,N/A,69%,384
The Innocent (L'innocente),79%,19,81%,513
Grizzly (no page found),N/A,N/A,N/A,N/A
The Missouri Breaks (no page found),N/A,N/A,N/A,N/A
Todo Modo,N/A,N/A,100%,64
Burnt Offerings,54%,13,43%,"4,265"
Who Can Kill a Child? (Quin puede matar a un nio?),N/A,N/A,79%,"2,075"
Stay Hungry,67%,15,40%,"2,528"
Hollywood Boulevard,N/A,N/A,47%,386
Master of the Flying Guillotine,90%,20,87%,"5,873"
The Last Hard Men (no page found),N/A,N/A,N/A,N/A
Barbed Wire Dolls,N/A,N/A,28%,288
La derniÃÂÃÂ¨re femme (no page found),N/A,N/A,N/A,N/A
High Rollers (no page found),N/A,N/A,N/A,N/A
Shout at the Devil,50%,8,33%,455
From Noon Till Three,40%,5,61%,392
Il Secondo tragico Fantozzi,N/A,N/A,N/A,N/A
Sparkle,78%,18,N/A,N/A
The Sailor Who Fell from Grace with the Sea (no page found),N/A,N/A,N/A,N/A
Operatiunea 'Monstrul' (no page found),N/A,N/A,N/A,N/A
The Bad News Bears (no page found),N/A,N/A,N/A,N/A
Face to Face,N/A,N/A,N/A,N/A
Queen of the Gypsies (no page found),N/A,N/A,N/A,N/A
All the President's Men,93%,61,92%,"50,279"
Lipstick,11%,9,37%,"1,091"
The Duchess and the Dirtwater Fox (no page found),N/A,N/A,N/A,N/A
Police Python 357,N/A,N/A,84%,93
"Ilsa, Harem Keeper of the Oil Sheiks",N/A,N/A,34%,"1,067"
The Slipper and the Rose: The Story of Cinderella (no page found),N/A,N/A,N/A,N/A
Family Plot,92%,36,62%,"7,551"
The Man Who Fell to Earth (no page found),N/A,N/A,N/A,N/A
L' Argent de Poche (Pocket Money) (Small Change),89%,18,86%,"3,578"
Allegro non troppo (no page found),N/A,N/A,N/A,N/A
The Twelve Tasks of Asterix (no page found),N/A,N/A,N/A,N/A
"Live Like a Cop, Die Like a Man (no page found)",N/A,N/A,N/A,N/A
Robin and Marian,73%,33,53%,"8,415"
Le juge et l'assassin (no page found),N/A,N/A,N/A,N/A
"Je t'aime moi non plus (I Love You, I Don't)",90%,10,46%,483
The Hunter Will Get You (no page found),N/A,N/A,N/A,N/A
Canoa: A Shameful Memory (no page found),N/A,N/A,N/A,N/A
To The Devil A Daughter,40%,10,38%,"2,199"
Kings of the Road (Im Lauf der Zeit),100%,6,89%,725
La meilleure faÃÂÃÂ§on de marcher (no page found),N/A,N/A,N/A,N/A
Salon Kitty (Edited Version),29%,7,54%,"1,319"
In the Realm of the Senses,86%,36,65%,"5,942"
Sometimes (no page found),N/A,N/A,N/A,N/A
The Tough Ones (no page found),N/A,N/A,N/A,N/A
Il soldato di ventura (no page found),N/A,N/A,N/A,N/A
The Killing of a Chinese Bookie (no page found),N/A,N/A,N/A,N/A
Cadavres exquis,N/A,N/A,85%,406
MaÃÂÃÂ®tresse (no page found),N/A,N/A,N/A,N/A
Taxi Driver,96%,90,93%,"260,494"
"No Deposit, No Return",N/A,N/A,68%,"1,416"
"Next Stop, Greenwich Village",80%,15,64%,508
Tosun Pasa,N/A,N/A,N/A,N/A
Hababam Sinifi Sinifta Kaldi (no page found),N/A,N/A,N/A,N/A
CrÃÂÃÂ­a Cuervos (no page found),N/A,N/A,N/A,N/A
Chhoti Si Baat,N/A,N/A,93%,303
The Witch Who Came from the Sea,78%,9,35%,"1,279"
Ates BÃÂÃÂ¶cegi (no page found),N/A,N/A,N/A,N/A
Ah Nerede (no page found),N/A,N/A,N/A,N/A
"Dad, Make Me Marry (no page found)",N/A,N/A,N/A,N/A
Hanzo (no page found),N/A,N/A,N/A,N/A
Lucky Lady (no page found),N/A,N/A,N/A,N/A
Hustle,N/A,N/A,19%,199
The Hindenburg (no page found),N/A,N/A,N/A,N/A
Friday Foster,N/A,N/A,40%,"1,964"
Breakheart Pass,60%,15,59%,"2,221"
Seven Beauties (Pasqualino Settebellezze),75%,16,89%,"2,120"
Carry On Behind,N/A,N/A,50%,612
Killer Elite,27%,126,42%,"32,426"
"Un genio, due compari, un pollo (no page found)",N/A,N/A,N/A,N/A
Emmanuelle II (no page found),N/A,N/A,N/A,N/A
The Adventure of Sherlock Holmes' Smarter Brother (no page found),N/A,N/A,N/A,N/A
Barry Lyndon,90%,73,92%,"45,059"
On a retrouvÃÂÃÂ© la 7ÃÂÃÂ¨me compagnie ! (no page found),N/A,N/A,N/A,N/A
The French Detective (no page found),N/A,N/A,N/A,N/A
SlÃÂÃÂ¤pp fÃÂÃÂ¥ngarne loss - det ÃÂÃÂ¤r vÃÂÃÂ¥r! (no page found),N/A,N/A,N/A,N/A
The Middleman (Jana Aranya),88%,8,91%,90
Operation: Daybreak,N/A,N/A,78%,294
The Man Who Would Be King,97%,29,91%,"16,007"
Emanuelle nera (no page found),N/A,N/A,N/A,N/A
Le sauvage (no page found),N/A,N/A,N/A,N/A
"SalÃÂÃÂ², or the 120 Days of Sodom (no page found)",N/A,N/A,N/A,N/A
One Flew Over the Cuckoo's Nest,94%,78,96%,"279,632"
The Adventures of the Wilderness Family (no page found),N/A,N/A,N/A,N/A
The Sunshine Boys,71%,28,73%,"2,459"
The Giant Spider Invasion (no page found),N/A,N/A,N/A,N/A
"Cousin, Cousine",100%,5,66%,349
It Can't Be! (no page found),N/A,N/A,N/A,N/A
Rooster Cogburn,44%,9,70%,"8,407"
Incorrigible (L'Incorrigible),N/A,N/A,N/A,N/A
Afonya (&#1040;&#1092;&#1086;&#1085;&#1103;),N/A,N/A,82%,90
Let's Do It Again,63%,8,87%,"2,748"
Shivers (no page found),N/A,N/A,N/A,N/A
Lisztomania,50%,10,65%,838
Mahogany,24%,17,76%,"1,508"
Hearts Of The West (Hollywood Cowboy),88%,8,44%,150
The Ultimate Warrior,20%,5,34%,264
Flic Story,N/A,N/A,59%,640
Walking Tall Part II (no page found),N/A,N/A,N/A,N/A
Olsen-banden pÃÂÃÂ¥ sporet (no page found),N/A,N/A,N/A,N/A
Take a Hard Ride (Kid Vengeance),N/A,N/A,27%,"1,396"
Three Days of the Condor,86%,44,83%,"11,716"
Black Moon (no page found),N/A,N/A,N/A,N/A
The Story of Adele H,91%,22,80%,"3,875"
Dog Day Afternoon,95%,44,90%,"110,174"
The Lost Honor of Katharina Blum (no page found),N/A,N/A,N/A,N/A
Mitchell,N/A,N/A,29%,951
Tarzoon: Shame of the Jungle (no page found),N/A,N/A,N/A,N/A
Hard Times,N/A,N/A,N/A,N/A
Royal Flash,N/A,N/A,63%,276
The Story of O,38%,8,44%,"1,352"
FlÃÂÃÂ¥klypa Grand Prix (no page found),N/A,N/A,N/A,N/A
Nude per l'assassino (Strip Nude for Your Killer),N/A,N/A,41%,"1,593"
The Old Gun (no page found),N/A,N/A,N/A,N/A
Coonskin,N/A,N/A,79%,788
"Ilsa, She-Wolf of the SS",36%,11,42%,"3,770"
Sholay,91%,11,96%,"8,243"
The Rocky Horror Picture Show,79%,43,85%,"366,374"
The Four of the Apocalypse... (no page found),N/A,N/A,N/A,N/A
Night of the Seagulls (La Noche de las gaviotas),N/A,N/A,51%,"1,103"
Picnic at Hanging Rock,90%,40,83%,"10,445"
"Farewell, My Lovely (no page found)",N/A,N/A,N/A,N/A
Infra-Man (Zhong guo chao ren),100%,6,75%,"1,681"
OtobÃÂÃÂ¼s (no page found),N/A,N/A,N/A,N/A
Xala (no page found),N/A,N/A,N/A,N/A
Overlord,89%,19,72%,"1,346"
The Dragon Flies (no page found),N/A,N/A,N/A,N/A
The Devil's Rain (no page found),N/A,N/A,N/A,N/A
Dersu Uzala,73%,15,94%,"7,629"
Amici miei (no page found),N/A,N/A,N/A,N/A
White Line Fever,N/A,N/A,54%,"1,119"
Manila In The Claws Of Light (Maynila: Sa mga kuko ng liwanag),100%,8,85%,121
One of Our Dinosaurs Is Missing,N/A,N/A,69%,997
Mother KÃÂÃÂ¼sters Goes to Heaven (no page found),N/A,N/A,N/A,N/A
"Bucktown, USA",N/A,N/A,51%,952
The Apple Dumpling Gang (no page found),N/A,N/A,N/A,N/A
Doc Savage---The Man of Bronze,N/A,N/A,58%,435
Race with the Devil,64%,14,54%,"3,216"
Rollerball,66%,32,61%,"12,284"
The Drowning Pool (no page found),N/A,N/A,N/A,N/A
Cooley High,83%,12,89%,"4,362"
Mili,N/A,N/A,79%,94
Jaws,98%,87,90%,"944,385"
Nashville,92%,61,84%,"10,082"
Love and Death,100%,21,90%,"19,052"
Posse (no page found),N/A,N/A,N/A,N/A
The Ghoul,77%,22,26%,180
India Song (no page found),N/A,N/A,N/A,N/A
The Hiding Place (no page found),N/A,N/A,N/A,N/A
The Wind and the Lion,63%,16,70%,"4,903"
The Eiger Sanction,69%,16,54%,"7,857"
The Return of the Pink Panther (no page found),N/A,N/A,N/A,N/A
The Fortune (no page found),N/A,N/A,N/A,N/A
"The Romantic Englishwoman,(Une anglaise romantique)",N/A,N/A,35%,155
Lips of Blood (Lèvres de sang),N/A,N/A,41%,199
The French Connection II,79%,24,62%,"7,705"
Fox and His Friends,84%,19,88%,"2,386"
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",96%,24,82%,"1,247"
O thiasos (no page found),N/A,N/A,N/A,N/A
Oni srazhalis za rodinu (no page found),N/A,N/A,N/A,N/A
Mandingo,26%,19,65%,684
The Day of the Locust (no page found),N/A,N/A,N/A,N/A
Bizim Aile (no page found),N/A,N/A,N/A,N/A
Maggie's Stiletto Sisters (no page found),N/A,N/A,N/A,N/A
Hababam Sinifi (no page found),N/A,N/A,N/A,N/A
Sharon's Baby (no page found),N/A,N/A,N/A,N/A
Death Race 2000,83%,35,64%,"25,861"
Dolemite,64%,14,67%,"5,846"
Bite the Bullet,73%,15,54%,"1,687"
Reincarnation of Peter Proud,N/A,N/A,N/A,N/A
Section spÃÂÃÂ©ciale (no page found),N/A,N/A,N/A,N/A
Capone,N/A,N/A,N/A,N/A
Hush Hush (no page found),N/A,N/A,N/A,N/A
Peur sur la ville,N/A,N/A,72%,298
Last Stop on the Night Train (no page found),N/A,N/A,N/A,N/A
Supervixens (no page found),N/A,N/A,N/A,N/A
Delisin (no page found),N/A,N/A,N/A,N/A
Saskin Damat (no page found),N/A,N/A,N/A,N/A
Trip with the Teacher,N/A,N/A,21%,222
Fantozzi,N/A,N/A,N/A,N/A
"Sheba, Baby",N/A,N/A,27%,"1,391"
Dirty Hands: The Art & Crimes of David Choe,75%,8,92%,155
Let Joy Reign Supreme,N/A,N/A,N/A,N/A
Bug,62%,133,34%,"356,688"
A Boy and His Dog (no page found),N/A,N/A,N/A,N/A
Escape to Witch Mountain,76%,21,59%,"32,017"
Brannigan,13%,8,40%,"4,291"
Smile,N/A,N/A,N/A,N/A
Tommy (no page found),N/A,N/A,N/A,N/A
Hester Street,71%,17,62%,581
Night Moves,83%,18,71%,"3,366"
Terror of Mechagodzilla,43%,7,60%,"2,437"
Funny Lady,33%,12,55%,"6,088"
Rancho Deluxe,69%,13,36%,"1,515"
The Prisoner of Second Avenue,57%,7,67%,"1,084"
Monty Python and the Holy Grail,97%,76,95%,"644,683"
"How to Drown Dr. Mracek, the Lawyer (no page found)",N/A,N/A,N/A,N/A
Wrong Move (Falsche Bewegung),67%,6,70%,345
Deep Red,N/A,N/A,25%,103
Breakout,N/A,N/A,N/A,N/A
The Mirror (no page found),N/A,N/A,N/A,N/A
Katie Tippel,N/A,N/A,67%,387
Zorro,N/A,N/A,55%,619
At Long Last Love,20%,15,36%,301
Professione: reporter (no page found),N/A,N/A,N/A,N/A
The Promised Land (no page found),N/A,N/A,N/A,N/A
Inserts,64%,11,56%,608
The Flying Guillotine (Xue di zi),N/A,N/A,61%,104
Graveyard of Honor (Jingi no hakaba) (Death of Honor),N/A,N/A,87%,"1,450"
Aandhi,N/A,N/A,94%,87
The Wilby Conspiracy (no page found),N/A,N/A,N/A,N/A
The Stepford Wives (no page found),N/A,N/A,N/A,N/A
L'important c'est d'aimer (no page found),N/A,N/A,N/A,N/A
Shampoo,60%,35,52%,"6,490"
The Strongest Man in the World (no page found),N/A,N/A,N/A,N/A
Flatfoot in Hong Kong (no page found),N/A,N/A,N/A,N/A
Footprints on the Moon (no page found),N/A,N/A,N/A,N/A
The Beast (no page found),N/A,N/A,N/A,N/A
Snuff (American Cannibale),N/A,N/A,25%,"1,489"
The Man in the Glass Booth (no page found),N/A,N/A,N/A,N/A
Deewaar,N/A,N/A,N/A,N/A
Eyeball (Gatti rossi in un labirinto di vetro)(The Secret Killer),N/A,N/A,41%,325
Autopsy (no page found),N/A,N/A,N/A,N/A
Mavi Boncuk (no page found),N/A,N/A,N/A,N/A
The Great Waldo Pepper (no page found),N/A,N/A,N/A,N/A
L'assassino ÃÂÃÂ¨ costretto ad uccidere ancora (no page found),N/A,N/A,N/A,N/A
Salako (no page found),N/A,N/A,N/A,N/A
Axe,N/A,N/A,14%,46
Gavaznha (no page found),N/A,N/A,N/A,N/A
Vase de noces (no page found),N/A,N/A,N/A,N/A
Vampyres (no page found),N/A,N/A,N/A,N/A
The Traveler,N/A,N/A,89%,89
"I, You, He, She (Je, Tu, Il, Elle)",100%,6,68%,277
Rabid Dogs (Cani arrabbiati) (Kidnapped) ( A Man and a Boy),78%,9,87%,"1,208"
Pastoral Hide and Seek (no page found),N/A,N/A,N/A,N/A
Sonar Kella,N/A,N/A,N/A,N/A
"Jakob, der Lügner (Jacob the Liar)",100%,5,85%,636
We All Loved Each Other So Much,N/A,N/A,97%,"1,562"
The Yakuza,59%,17,72%,"1,738"
Porgi l'altra guancia (Turn the Other Cheek),N/A,N/A,N/A,N/A
Scent of a Woman (no page found),N/A,N/A,N/A,N/A
Travolti da un insolito destino nell'azzurro mare d'agosto (no page found),N/A,N/A,N/A,N/A
Boss Nigger (no page found),N/A,N/A,N/A,N/A
Steppenwolf,N/A,N/A,51%,154
The Return of the Tall Blond Man (no page found),N/A,N/A,N/A,N/A
The Front Page (no page found),N/A,N/A,N/A,N/A
The Towering Inferno (no page found),N/A,N/A,N/A,N/A
The Island at the Top of the World,43%,7,46%,"1,388"
Young Frankenstein,94%,66,92%,"209,288"
The Man with the Golden Gun (no page found),N/A,N/A,N/A,N/A
The Godfather: Part II (no page found),N/A,N/A,N/A,N/A
Conversation Piece (Gruppo di famiglia in un interno),80%,10,83%,289
Alice Doesn't Live Here Anymore,88%,33,82%,"9,838"
Die Terroristen! (The Terrorists!),N/A,N/A,N/A,N/A
Les dÃÂÃÂ©moniaques (no page found),N/A,N/A,N/A,N/A
VÃÂÃÂ¤rldens bÃÂÃÂ¤sta Karlsson (no page found),N/A,N/A,N/A,N/A
Freebie and the Bean,25%,12,65%,"1,442"
The Land That Time Forgot,N/A,N/A,9%,371
GyakushÃÂÃÂ»! Satsujin ken (no page found),N/A,N/A,N/A,N/A
The Antichrist,N/A,N/A,33%,456
Murder on the Orient Express,90%,39,79%,"20,846"
Beyond the Door (no page found),N/A,N/A,N/A,N/A
Earthquake,42%,26,35%,"8,275"
The Trial of Billy Jack (El Juicio de Billy Jack),50%,8,50%,"2,099"
"Svoy sredi chuzhikh, chuzhoy sredi svoikh, (At Home Among Strangers, Stranger at Home)",N/A,N/A,88%,289
Lenny,88%,25,88%,"6,541"
The Little Prince,N/A,N/A,N/A,N/A
Frightmare,N/A,N/A,55%,912
Phantom of the Paradise,84%,25,84%,"10,067"
The Enigma of Kaspar Hauser (no page found),N/A,N/A,N/A,N/A
KÃÂÃÂ¶yden Indim Sehire (no page found),N/A,N/A,N/A,N/A
The Four Musketeers: Milady's Revenge (no page found),N/A,N/A,N/A,N/A
The Klansman (no page found),N/A,N/A,N/A,N/A
Borsalino and Co,N/A,N/A,64%,"1,084"
"Vincent, FranÃÂÃÂ§ois, Paul and the Others (no page found)",N/A,N/A,N/A,N/A
The Castle Of Sand (Suna No Utsuwa),N/A,N/A,57%,12
Airport 1975,25%,16,37%,"9,048"
The Odessa File (no page found),N/A,N/A,N/A,N/A
A Woman Under the Influence (no page found),N/A,N/A,N/A,N/A
Black Christmas,15%,62,37%,"137,897"
I'm Losing My Temper (no page found),N/A,N/A,N/A,N/A
Female Trouble,88%,26,85%,"7,380"
Olsen-bandens sidste bedrifter (no page found),N/A,N/A,N/A,N/A
The Gambler (no page found),N/A,N/A,N/A,N/A
The Texas Chain Saw Massacre (no page found),N/A,N/A,N/A,N/A
Arkadas (no page found),N/A,N/A,N/A,N/A
The Taking of Pelham One Two Three,100%,39,88%,"9,444"
The Living Dead at Manchester Morgue,86%,21,71%,"3,431"
Phase IV,N/A,N/A,10%,80
Dunderklumpen! (no page found),N/A,N/A,N/A,N/A
Juggernaut,80%,5,55%,"1,790"
Ein Unbekannter rechnet ab (no page found),N/A,N/A,N/A,N/A
Big Bad Mama,71%,14,41%,"4,324"
Street Law,N/A,N/A,N/A,N/A
Scenes from a Marriage (Scener ur ett äktenskap),90%,21,95%,"8,392"
The Phantom of Liberty (no page found),N/A,N/A,N/A,N/A
Gold,N/A,N/A,25%,312
The Marseille Contract (The Destructors),N/A,N/A,45%,87
The Deluge (no page found),N/A,N/A,N/A,N/A
Sister Street Fighter,N/A,N/A,36%,81
Dead of Night (Deathdream),83%,12,64%,"1,208"
The Longest Yard,31%,168,62%,"32,774,364"
Confessions of a Window Cleaner,N/A,N/A,26%,216
V Boy Idut Odni Stariki (Only Old Men Are Going to Battle),N/A,N/A,N/A,N/A
La polizia chiede aiuto (no page found),N/A,N/A,N/A,N/A
Harry and Tonto,83%,18,82%,"1,769"
Milano odia: la polizia non può sparare,N/A,N/A,88%,645
Macon County Line,43%,7,59%,"1,325"
California Split,88%,17,83%,"2,904"
Bring Me the Head of Alfredo Garcia,79%,28,85%,"8,375"
"Joachim, Put It in the Machine (no page found)",N/A,N/A,N/A,N/A
Cockfighter,100%,6,82%,808
Flesh Gordon,67%,6,45%,"2,537"
Death Wish,67%,27,68%,"22,085"
Gone in 60 Seconds (no page found),N/A,N/A,N/A,N/A
Carry On Dick,N/A,N/A,59%,616
The Tamarind Seed (no page found),N/A,N/A,N/A,N/A
The Legend of the 7 Golden Vampires,40%,5,42%,"1,295"
Ankur: The Seedling (no page found),N/A,N/A,N/A,N/A
Stone,50%,100,21%,"16,671"
The Ghost Galleon (no page found),N/A,N/A,N/A,N/A
Three the Hard Way,N/A,N/A,51%,162
For Pete's Sake,50%,8,51%,"1,302"
Emmanuelle,40%,15,39%,"1,060"
Where the Red Fern Grows,N/A,N/A,75%,"8,753"
Fontane Effi Briest (no page found),N/A,N/A,N/A,N/A
Chinatown,99%,73,93%,"77,876"
The Terminal Man (no page found),N/A,N/A,N/A,N/A
The Parallax View (no page found),N/A,N/A,N/A,N/A
Uptown Saturday Night,75%,8,81%,"1,390"
Lady Snowblood 2: Love Song of Vengeance (Shura-yuki-hime: Urami Renga),N/A,N/A,59%,"10,722"
The Cars That Ate Paris (no page found),N/A,N/A,N/A,N/A
