,Genres
0,Action
1,Adventure
2,Animation
3,Biography
4,Comedy
5,Crime
6,Drama
7,Family
8,Fantasy
9,History
10,Horror
11,Music
12,Musical
13,Mystery
14,Romance
15,Sci-Fi
16,Sport
17,Thriller
18,War
19,Western
