Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
Blood Machines,https://www.imdb.com/title/tt6197070/,6.2,1704,50.0,"['Adventure', 'Music', 'Sci-Fi']",, ~data not found~ ,IMDB
The Beach House,https://www.imdb.com/title/tt10843306/,5.5,1367,88.0,"['Drama', 'Horror', 'Mystery']",Not Rated,64,IMDB
Tall Girl,https://www.imdb.com/title/tt9252508/,5.2,15717,101.0,['Comedy'],TV-PG, ~data not found~ ,IMDB
Dream Girl,https://www.imdb.com/title/tt9248940/,7.1,10318,132.0,"['Comedy', 'Romance']",, ~data not found~ ,IMDB
Section 375,https://www.imdb.com/title/tt8144834/,8.1,9731,124.0,"['Drama', 'Mystery']",Not Rated, ~data not found~ ,IMDB
Zeroville,https://www.imdb.com/title/tt1881109/,4.6,1288,96.0,"['Comedy', 'Drama', 'Mystery']",R,28,IMDB
Gang Leader,https://www.imdb.com/title/tt9675464/,7.6,2052,155.0,"['Action', 'Comedy']",Not Rated, ~data not found~ ,IMDB
American Son,https://www.imdb.com/title/tt9664078/,5.7,5744,90.0,['Drama'],,34,IMDB
Pailwaan,https://www.imdb.com/title/tt7317482/,6.4,1373,166.0,"['Action', 'Drama', 'Sport']",Not Rated, ~data not found~ ,IMDB
Downton Abbey,https://www.imdb.com/title/tt6398184/,7.4,34465,122.0,"['Drama', 'Romance']",PG,64,IMDB
