Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
Fists of the White Lotus,https://www.imdb.com/title/tt0080905/,7.3,1315,95.0,"['Action', 'Drama']",PG-13,,IMDB,Fists of the White Lotus (1980) ,"
Country:
Hong Kong
","
Language:
Cantonese
|
Mandarin
","
Release Date: 1 January 1980 (Hong Kong)
    
See more »
    
"
Erkek GÃ¼zeli Sefil Bilo,https://www.imdb.com/title/tt1134817/,6.9,2234,80.0,"['Comedy', 'Drama']",,,IMDB,Erkek Güzeli Sefil Bilo (1979) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1979 (Turkey)
    
See more »
    
"
Ne Olacak Simdi,https://www.imdb.com/title/tt0469802/,7.6,2555,83.0,"['Comedy', 'Romance']",,,IMDB,Ne Olacak Simdi (1979) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1979 (Turkey)
    
See more »
    
"
Umudumuz Saban,https://www.imdb.com/title/tt0253860/,7.2,3009,83.0,['Comedy'],,,IMDB,Umudumuz Saban (1979) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Sark BÃ¼lbÃ¼lÃ¼,https://www.imdb.com/title/tt0253637/,7.6,3625,89.0,"['Comedy', 'Drama']",,,IMDB,Sark Bülbülü (1979) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Korkusuz Korkak,https://www.imdb.com/title/tt0252611/,8.1,5558,77.0,"['Adventure', 'Comedy']",,,IMDB,Korkusuz Korkak (1979) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Dokunmayin Sabanima,https://www.imdb.com/title/tt0252389/,7.3,3629,79.0,"['Comedy', 'Romance']",,,IMDB,Dokunmayin Sabanima (1979) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
BekÃ§iler Krali,https://www.imdb.com/title/tt0252269/,7.7,5698,82.0,['Comedy'],,,IMDB,Bekçiler Krali (1979) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Return of the Secaucus Seven,https://www.imdb.com/title/tt0081420/,6.9,1884,104.0,['Drama'],R,,IMDB,Return of the Secaucus Seven (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 September 1980 (USA)
    
See more »
    
"
Savage Weekend,https://www.imdb.com/title/tt0079855/,4.5,1259,88.0,['Horror'],R,,IMDB,Savage Weekend (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 1979 (USA)
    
See more »
    
"
Arrebato,https://www.imdb.com/title/tt0078797/,7.0,2031,105.0,"['Drama', 'Fantasy', 'Horror']",,,IMDB,Arrebato (1979) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 26 August 1983 (Portugal)
    
See more »
    
"
Olsen-banden overgiver sig aldrig,https://www.imdb.com/title/tt0079662/,6.9,1433,108.0,"['Comedy', 'Crime', 'Family']",Not Rated,,IMDB,Olsen-banden overgiver sig aldrig (1979) ,"
Country:
Denmark
","
Language:
Danish
","
Release Date: 26 December 1979 (Denmark)
    
See more »
    
"
Going in Style,https://www.imdb.com/title/tt0079219/,7.1,2817,97.0,"['Comedy', 'Crime', 'Drama']",PG,65.0,IMDB,Going in Style (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1979 (USA)
    
See more »
    
"
Scavenger Hunt,https://www.imdb.com/title/tt0079858/,6.0,2401,116.0,['Comedy'],PG,,IMDB,Scavenger Hunt (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 December 1979 (USA)
    
See more »
    
"
Cuba,https://www.imdb.com/title/tt0079013/,5.7,2350,122.0,"['Adventure', 'Romance', 'Thriller']",R,,IMDB,Cuba (1979) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
","
Release Date: 21 December 1979 (USA)
    
See more »
    
"
Being There,https://www.imdb.com/title/tt0078841/,8.0,63960,130.0,"['Comedy', 'Drama']",PG,83.0,IMDB,Being There (1979) ,"
Country:
West Germany
|
USA
","
Language:
English
|
Russian
|
Italian
","
Release Date: 8 February 1980 (USA)
    
See more »
    
"
Roller Boogie,https://www.imdb.com/title/tt0079822/,4.5,1545,103.0,"['Drama', 'Music']",PG,,IMDB,Roller Boogie (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 December 1979 (USA)
    
See more »
    
"
The Magnificent Butcher,https://www.imdb.com/title/tt0079472/,7.3,2110,108.0,"['Action', 'Comedy', 'Drama']",PG-13,,IMDB,The Magnificent Butcher (1979) ,"
Country:
Hong Kong
","
Language:
Cantonese
|
Mandarin
","
Release Date: 19 December 1979 (Hong Kong)
    
See more »
    
"
I... comme Icare,https://www.imdb.com/title/tt0079322/,7.9,3475,120.0,"['Crime', 'Drama', 'Mystery']",,,IMDB,I... comme Icare (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 19 December 1979 (France)
    
See more »
    
"
Buffet froid,https://www.imdb.com/title/tt0078913/,7.4,4861,89.0,"['Comedy', 'Crime']",Not Rated,,IMDB,Buffet froid (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 19 December 1979 (France)
    
See more »
    
"
The Human Factor,https://www.imdb.com/title/tt0080903/,6.1,1206,115.0,"['Drama', 'Romance', 'Thriller']",R,62.0,IMDB,The Human Factor (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: January 1980 (UK)
    
See more »
    
"
The Black Hole,https://www.imdb.com/title/tt0078869/,6.0,22808,98.0,"['Action', 'Sci-Fi']",PG,52.0,IMDB,The Black Hole (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 December 1979 (USA)
    
See more »
    
"
Kramer vs. Kramer,https://www.imdb.com/title/tt0079417/,7.8,128897,105.0,['Drama'],PG,77.0,IMDB,Kramer vs. Kramer (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 December 1979 (USA)
    
See more »
    
"
The Electric Horseman,https://www.imdb.com/title/tt0079100/,6.4,7249,121.0,"['Comedy', 'Drama', 'Romance']",PG,64.0,IMDB,The Electric Horseman (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 December 1979 (USA)
    
See more »
    
"
All That Jazz,https://www.imdb.com/title/tt0078754/,7.9,27039,123.0,"['Drama', 'Music', 'Musical']",R,72.0,IMDB,All That Jazz (1979) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 20 December 1979 (USA)
    
See more »
    
"
Lupin the 3rd: Castle of Cagliostro,https://www.imdb.com/title/tt0079833/,7.7,25749,102.0,"['Animation', 'Adventure', 'Family']",PG-13,71.0,IMDB,Lupin the 3rd: Castle of Cagliostro (1979) ,"
Country:
Japan
","
Language:
Japanese
|
English
|
French
","
Release Date: 15 December 1979 (Japan)
    
See more »
    
"
The Jerk,https://www.imdb.com/title/tt0079367/,7.2,51930,94.0,['Comedy'],R,61.0,IMDB,The Jerk (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 December 1979 (USA)
    
See more »
    
"
"Du Ã¤r inte klok, Madicken",https://www.imdb.com/title/tt0079087/,6.5,1511,104.0,"['Comedy', 'Drama', 'Family']",,,IMDB,"Du är inte klok, Madicken (1979) ","
Country:
Sweden
","
Language:
Swedish
","
Release Date: 14 December 1979 (Sweden)
    
See more »
    
"
1941,https://www.imdb.com/title/tt0078723/,5.8,30722,118.0,"['Action', 'Comedy', 'War']",PG,34.0,IMDB,1941 (1979) ,"
Country:
USA
","
Language:
English
|
Japanese
|
German
|
Spanish
","
Release Date: 14 December 1979 (USA)
    
See more »
    
"
Star Trek: The Motion Picture,https://www.imdb.com/title/tt0079945/,6.4,79545,132.0,"['Adventure', 'Mystery', 'Sci-Fi']",G,48.0,IMDB,Star Trek: The Motion Picture (1979) ,"
Country:
USA
","
Language:
English
|
Klingon
","
Release Date: 8 December 1979 (USA)
    
See more »
    
"
Bear Island,https://www.imdb.com/title/tt0078836/,5.9,2016,118.0,"['Action', 'Adventure', 'Mystery']",PG,,IMDB,Bear Island (1979) ,"
Country:
UK
|
Canada
","
Language:
English
","
Release Date: 26 December 1979 (UK)
    
See more »
    
"
I'm for the Hippopotamus,https://www.imdb.com/title/tt0079351/,6.7,7675,92.0,"['Action', 'Adventure', 'Comedy']",,,IMDB,I'm for the Hippopotamus (1979) ,"
Country:
Italy
|
South Africa
","
Language:
Italian
|
English
","
Release Date: 5 December 1979 (South Africa)
    
See more »
    
"
Don't Go in the House,https://www.imdb.com/title/tt0080646/,5.7,3665,82.0,['Horror'],R,,IMDB,Don't Go in the House (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 March 1980 (USA)
    
See more »
    
"
The Day Time Ended,https://www.imdb.com/title/tt0080596/,3.5,1398,79.0,"['Adventure', 'Horror', 'Sci-Fi']",PG,,IMDB,The Day Time Ended (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 1980 (UK)
    
See more »
    
"
