,Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date
35,Saving ZoÃÂ«,https://www.imdb.com/title/tt7319822/,5.3,1383,95.0,"['Crime', 'Drama', 'Mystery']",R,,IMDB,['USA'],['English'],2019-12-12
36,Jak zostalem gangsterem. Historia prawdziwa,https://www.imdb.com/title/tt10804178/,7.1,1052,140.0,"['Crime', 'Drama']",,,IMDB,['Poland'],['Polish'],2020-01-03
37,Black Christmas,https://www.imdb.com/title/tt10481868/,3.2,8274,92.0,"['Horror', 'Mystery', 'Thriller']",PG-13,4.9,IMDB,"['USA', 'New Zealand']",['English'],2019-12-13
38,6 Underground,https://www.imdb.com/title/tt8106534/,6.1,126137,128.0,"['Action', 'Comedy', 'Thriller']",R,4.1,IMDB,['USA'],"['English', 'Turkmen', 'Cantonese', 'Italian', 'Spanish', 'Ukrainian', 'French']",2019-12-13
39,The Wave,https://www.imdb.com/title/tt4354756/,6.0,2234,90.0,"['Sci-Fi', 'Thriller']",R,5.1,IMDB,['USA'],['English'],2020-01-17
40,Little Women,https://www.imdb.com/title/tt3281548/,7.9,115866,135.0,"['Drama', 'Romance']",PG,9.1,IMDB,['USA'],"['English', 'French']",2019-12-25
41,Pati Patni Aur Woh,https://www.imdb.com/title/tt9680136/,5.8,5004,126.0,"['Comedy', 'Romance']",Not Rated,,IMDB,['India'],['Hindi'],2019-12-06
42,Trauma Center,https://www.imdb.com/title/tt9625664/,4.7,5347,87.0,"['Action', 'Thriller']",R,,IMDB,['USA'],"['English', 'Spanish']",2019-12-06
43,Panipat,https://www.imdb.com/title/tt8176040/,5.4,3784,165.0,"['Action', 'Drama', 'History']",Not Rated,,IMDB,['India'],['Hindi'],2019-12-06
44,Dropa,https://www.imdb.com/title/tt1822395/,6.3,1942,101.0,"['Drama', 'Sci-Fi', 'Thriller']",,,IMDB,['USA'],['English'],2019-12-06
45,A Christmas Prince: The Royal Baby,https://www.imdb.com/title/tt10006006/,5.3,3759,84.0,"['Family', 'Romance']",TV-PG,,IMDB,['USA'],['English'],2019-12-05
46,1917,https://www.imdb.com/title/tt8579674/,8.3,345713,119.0,"['Drama', 'War']",R,7.8,IMDB,"['USA', 'UK', 'India', 'Spain', 'Canada']","['English', 'French', 'German']",2020-01-10
47,Jumanji: The Next Level,https://www.imdb.com/title/tt7975244/,6.7,159275,123.0,"['Action', 'Adventure', 'Comedy']",PG-13,5.8,IMDB,['USA'],['English'],2019-12-13
48,Spies in Disguise,https://www.imdb.com/title/tt5814534/,6.8,26067,102.0,"['Animation', 'Adventure', 'Comedy']",PG,5.4,IMDB,['USA'],"['English', 'Japanese']",2019-12-25
49,The Gentlemen,https://www.imdb.com/title/tt8367814/,7.9,163693,113.0,"['Action', 'Comedy', 'Crime']",R,5.1,IMDB,"['UK', 'USA']",['English'],2020-01-24
50,Damayanthi,https://www.imdb.com/title/tt9766160/,8.4,1074,161.0,['Drama'],,,IMDB,['India'],['Kannada'],2019-11-29
