Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
Black Is King,https://www.imdb.com/title/tt12607910/,5.7,4467,85.0,"['Adventure', 'Drama', 'Fantasy']",TV-14,75.0,IMDB
Raat Akeli Hai,https://www.imdb.com/title/tt12567088/,7.6,4840,149.0,"['Crime', 'Drama', 'Mystery']",,,IMDB
Shakuntala Devi,https://www.imdb.com/title/tt10964468/,6.4,3386,127.0,['Drama'],,,IMDB
Lootcase,https://www.imdb.com/title/tt10515526/,8.0,3941,0.0,['Comedy'],,,IMDB
Yaara,https://www.imdb.com/title/tt3698454/,6.0,1249,0.0,"['Action', 'Crime', 'Drama']",,,IMDB
Deep Blue Sea 3,https://www.imdb.com/title/tt11946300/,4.6,1215,99.0,"['Action', 'Horror', 'Sci-Fi']",R,,IMDB
The Kissing Booth 2,https://www.imdb.com/title/tt9784456/,6.0,9951,134.0,"['Comedy', 'Romance']",TV-14,39.0,IMDB
Dil Bechara,https://www.imdb.com/title/tt8110330/,9.2,92425,101.0,"['Comedy', 'Drama', 'Romance']",,,IMDB
Offering to the Storm,https://www.imdb.com/title/tt7304824/,6.2,1596,139.0,"['Crime', 'Thriller']",,,IMDB
The Rental,https://www.imdb.com/title/tt10003008/,5.8,4911,88.0,"['Horror', 'Thriller']",R,63.0,IMDB
The Silencing,https://www.imdb.com/title/tt7149730/,6.1,2629,93.0,"['Action', 'Crime', 'Thriller']",R,,IMDB
Ghosts of War,https://www.imdb.com/title/tt6508228/,5.4,1365,94.0,"['Horror', 'Thriller', 'War']",R,38.0,IMDB
Virgin Bhanupriya,https://www.imdb.com/title/tt11964084/,6.4,1513,111.0,"['Comedy', 'Drama']",,,IMDB
Fatal Affair,https://www.imdb.com/title/tt11057594/,4.4,3243,89.0,"['Drama', 'Thriller']",TV-14,34.0,IMDB
Unhinged,https://www.imdb.com/title/tt10059518/,6.2,1003,90.0,['Thriller'],R,33.0,IMDB
Peninsula,https://www.imdb.com/title/tt8850222/,6.0,1233,116.0,"['Action', 'Horror', 'Thriller']",,,IMDB
The Old Guard,https://www.imdb.com/title/tt7556122/,6.7,79295,125.0,"['Action', 'Adventure', 'Fantasy']",R,70.0,IMDB
Archive,https://www.imdb.com/title/tt6882604/,6.3,3269,109.0,['Sci-Fi'],,67.0,IMDB
Greyhound,https://www.imdb.com/title/tt6048922/,7.1,36938,91.0,"['Action', 'Drama', 'History']",PG-13,63.0,IMDB
Hamilton,https://www.imdb.com/title/tt8503618/,8.8,30986,160.0,"['Biography', 'Drama', 'History']",PG-13,90.0,IMDB
Desperados,https://www.imdb.com/title/tt1545304/,5.2,6014,105.0,"['Comedy', 'Romance']",,41.0,IMDB
The F**k-It List,https://www.imdb.com/title/tt8145202/,5.1,2782,103.0,['Comedy'],,,IMDB
Under the Riccione Sun,https://www.imdb.com/title/tt10941528/,5.5,1153,101.0,"['Comedy', 'Drama', 'Romance']",,,IMDB
Force of Nature,https://www.imdb.com/title/tt10308928/,4.4,2921,91.0,"['Action', 'Drama']",R,29.0,IMDB
Irresistible,https://www.imdb.com/title/tt9076562/,6.2,4835,101.0,"['Comedy', 'Drama']",R,47.0,IMDB
Eurovision Song Contest: The Story of Fire Saga,https://www.imdb.com/title/tt8580274/,6.6,54897,123.0,"['Comedy', 'Music']",PG-13,50.0,IMDB
The Outpost,https://www.imdb.com/title/tt3833480/,6.7,6857,123.0,"['Drama', 'History', 'War']",R,71.0,IMDB
Bulbbul,https://www.imdb.com/title/tt12393526/,6.6,7249,94.0,"['Drama', 'Horror', 'Mystery']",,,IMDB
Chaman Bahaar,https://www.imdb.com/title/tt8747450/,7.1,4216,111.0,"['Comedy', 'Drama']",,,IMDB
Penguin,https://www.imdb.com/title/tt11323316/,4.6,1830,132.0,"['Drama', 'Mystery', 'Thriller']",Not Rated,,IMDB
Feel the Beat,https://www.imdb.com/title/tt10714856/,6.3,5332,109.0,"['Comedy', 'Drama', 'Family']",TV-G,,IMDB
Lost Bullet,https://www.imdb.com/title/tt10456740/,6.2,5003,92.0,"['Action', 'Crime', 'Thriller']",,78.0,IMDB
You Should Have Left,https://www.imdb.com/title/tt8201852/,5.3,8161,93.0,"['Drama', 'Horror', 'Mystery']",R,46.0,IMDB
A Whisker Away,https://www.imdb.com/title/tt11958344/,6.8,2811,104.0,"['Animation', 'Adventure', 'Family']",TV-PG,,IMDB
Da 5 Bloods,https://www.imdb.com/title/tt9777644/,6.5,26740,154.0,"['Adventure', 'Drama', 'War']",R,82.0,IMDB
The King of Staten Island,https://www.imdb.com/title/tt9686708/,7.2,17258,136.0,"['Comedy', 'Drama']",R,67.0,IMDB
Infamous,https://www.imdb.com/title/tt7703924/,3.8,1114,100.0,['Crime'],Not Rated,41.0,IMDB
Artemis Fowl,https://www.imdb.com/title/tt3089630/,4.1,16011,95.0,"['Adventure', 'Family', 'Fantasy']",PG,31.0,IMDB
Gulabo Sitabo,https://www.imdb.com/title/tt10333912/,6.4,8647,124.0,"['Comedy', 'Drama']",,,IMDB
Chintu Ka Birthday,https://www.imdb.com/title/tt8472964/,7.9,3069,80.0,['Drama'],,,IMDB
The Last Days of American Crime,https://www.imdb.com/title/tt1552211/,3.6,7666,148.0,"['Action', 'Crime', 'Thriller']",,15.0,IMDB
Choked,https://www.imdb.com/title/tt11651780/,5.7,3981,114.0,['Drama'],TV-14,,IMDB
Becky,https://www.imdb.com/title/tt10314450/,5.7,6017,93.0,"['Action', 'Drama', 'Horror']",R,53.0,IMDB
Dating Amber,https://www.imdb.com/title/tt7886936/,7.1,1661,92.0,"['Comedy', 'Drama', 'Romance']",,,IMDB
The High Note,https://www.imdb.com/title/tt9308382/,6.2,2735,113.0,"['Drama', 'Music', 'Romance']",PG-13,58.0,IMDB
Gabriel's Inferno,https://www.imdb.com/title/tt11316854/,6.2,1331,122.0,['Romance'],,,IMDB
Ponmagal Vandhal,https://www.imdb.com/title/tt10692888/,6.9,2145,123.0,"['Drama', 'Thriller']",,,IMDB
The Dinner Party,https://www.imdb.com/title/tt10358198/,6.0,2103,116.0,"['Horror', 'Thriller']",,,IMDB
Intuition,https://www.imdb.com/title/tt12282598/,5.3,1581,116.0,"['Crime', 'Thriller']",,,IMDB
The Lovebirds,https://www.imdb.com/title/tt8851668/,6.0,17049,86.0,"['Action', 'Comedy', 'Crime']",R,59.0,IMDB
Inheritance,https://www.imdb.com/title/tt7923220/,5.4,4047,111.0,"['Drama', 'Mystery', 'Thriller']",,31.0,IMDB
Ghoomketu,https://www.imdb.com/title/tt3734580/,5.8,2480,108.0,['Comedy'],,,IMDB
Survive the Night,https://www.imdb.com/title/tt10303324/,5.0,5008,90.0,"['Action', 'Drama', 'Thriller']",R,26.0,IMDB
Last Moment of Clarity,https://www.imdb.com/title/tt1929297/,5.1,1110,90.0,['Thriller'],R,,IMDB
Proximity,https://www.imdb.com/title/tt8718300/,4.6,1190,119.0,"['Drama', 'Sci-Fi']",Not Rated,38.0,IMDB
Scoob!,https://www.imdb.com/title/tt3152592/,5.7,12813,93.0,"['Animation', 'Adventure', 'Comedy']",PG,43.0,IMDB
The Wrong Missy,https://www.imdb.com/title/tt9619798/,5.7,27388,90.0,"['Comedy', 'Romance']",,33.0,IMDB
Capone,https://www.imdb.com/title/tt6199572/,4.7,10412,103.0,"['Biography', 'Crime', 'Drama']",R,46.0,IMDB
Choke,https://www.imdb.com/title/tt11127256/,5.1,1473,73.0,"['Horror', 'Thriller']",,,IMDB
Valley Girl,https://www.imdb.com/title/tt1266036/,5.4,1284,102.0,"['Comedy', 'Musical', 'Romance']",PG-13,53.0,IMDB
Arkansas,https://www.imdb.com/title/tt9139586/,5.8,3821,117.0,"['Crime', 'Drama', 'Thriller']",R,55.0,IMDB
The Half of It,https://www.imdb.com/title/tt9683478/,6.9,22314,104.0,"['Comedy', 'Drama', 'Romance']",PG-13,74.0,IMDB
All Day and a Night,https://www.imdb.com/title/tt3993886/,5.8,2500,121.0,['Drama'],R,60.0,IMDB
Mrs. Serial Killer,https://www.imdb.com/title/tt10230426/,4.8,10486,106.0,"['Drama', 'Crime']",,,IMDB
Ricos de Amor,https://www.imdb.com/title/tt10329566/,5.8,1532,104.0,"['Comedy', 'Romance']",TV-14,,IMDB
Dangerous Lies,https://www.imdb.com/title/tt10183816/,5.2,12013,96.0,"['Drama', 'Mystery', 'Thriller']",TV-14,51.0,IMDB
