Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date,Month,Year,Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
Bel Canto,https://www.imdb.com/title/tt6046314/,5.4,2641,100.0,"['Drama', 'Music', 'Romance']",,5.0,IMDB,['USA'],"['English', 'Spanish', 'French', 'Japanese']",2018-09-14,9.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
Her Smell,https://www.imdb.com/title/tt7942742/,6.2,4268,136.0,"['Drama', 'Music']",R,6.9,IMDB,"['USA', 'Greece']",['English'],2019-05-10,5.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
QuiÃÂ©n te cantarÃÂ¡,https://www.imdb.com/title/tt6485304/,7.0,2205,125.0,"['Drama', 'Music', 'Mystery']",,,IMDB,"['Spain', 'France']",['Spanish'],2018-10-24,10.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
Wild Rose,https://www.imdb.com/title/tt5117428/,7.2,8709,101.0,"['Comedy', 'Drama', 'Music']",R,8.0,IMDB,"['UK', 'USA', 'Canada']",['English'],2019-06-21,6.0,2019.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Teen Spirit,https://www.imdb.com/title/tt6483364/,6.1,7089,93.0,"['Drama', 'Music']",PG-13,5.7,IMDB,['UK'],"['English', 'Polish']",2019-04-19,4.0,2019.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Vox Lux,https://www.imdb.com/title/tt5960374/,5.9,15115,114.0,"['Drama', 'Music']",R,6.7,IMDB,['USA'],"['English', 'Croatian', 'Chinese']",2018-12-20,12.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
A Star Is Born,https://www.imdb.com/title/tt1517451/,7.7,314317,136.0,"['Drama', 'Music', 'Romance']",R,8.8,IMDB,['USA'],['English'],2018-10-05,10.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
The After Party,https://www.imdb.com/title/tt3960240/,5.8,3488,120.0,"['Comedy', 'Music']",Not Rated,,IMDB,['USA'],,2018-08-24,8.0,2018.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Miss Granny,https://www.imdb.com/title/tt8368032/,8.0,1633,120.0,"['Comedy', 'Fantasy', 'Music']",,,IMDB,['Philippines'],"['Tagalog', 'Filipino']",2018-09-21,9.0,2018.0,2010.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
The Festival,https://www.imdb.com/title/tt7460806/,5.8,5397,98.0,"['Comedy', 'Music', 'Romance']",R,5.7,IMDB,['UK'],['English'],2019-12-06,12.0,2019.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
Fanney Khan,https://www.imdb.com/title/tt6384386/,4.5,1806,130.0,"['Comedy', 'Drama', 'Music']",Not Rated,,IMDB,['India'],,2018-08-03,8.0,2018.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Das schÃÂ¶nste MÃÂ¤dchen der Welt,https://www.imdb.com/title/tt7776838/,7.2,1318,102.0,"['Comedy', 'Music', 'Romance']",,,IMDB,['Germany'],['German'],2018-09-06,9.0,2018.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
Climax,https://www.imdb.com/title/tt8359848/,7.1,45696,97.0,"['Drama', 'Horror', 'Music']",R,6.7,IMDB,"['France', 'Belgium']","['French', 'English']",2018-09-19,9.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Cold War,https://www.imdb.com/title/tt6543652/,7.6,45048,89.0,"['Drama', 'History', 'Music']",R,9.0,IMDB,"['Poland', 'UK', 'France']","['Polish', 'French', 'Croatian', 'German', 'Russian', 'Serbian', 'Italian']",2018-06-08,6.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
Leto,https://www.imdb.com/title/tt7342838/,7.3,5386,126.0,"['Biography', 'Music', 'Romance']",,6.9,IMDB,"['Russia', 'France']","['Russian', 'English']",2019-06-07,6.0,2019.0,2010.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
Blue Night,https://www.imdb.com/title/tt6069162/,4.4,1144,91.0,"['Drama', 'Music', 'Romance']",R,4.5,IMDB,['USA'],['English'],2018-11-09,11.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
The Transcendents,https://www.imdb.com/title/tt5980638/,9.5,2009,96.0,"['Music', 'Mystery', 'Thriller']",,,IMDB,['USA'],['English'],2020-06-19,6.0,2020.0,2020.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
Heavy Trip,https://www.imdb.com/title/tt7220754/,7.0,6865,92.0,"['Comedy', 'Music']",,7.2,IMDB,"['Finland', 'Norway', 'Belgium']","['Finnish', 'English', 'Norwegian']",2018-03-09,3.0,2018.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Valami Amerika 3,https://www.imdb.com/title/tt6877164/,5.4,1274,103.0,"['Comedy', 'Music']",,,IMDB,['Hungary'],['Hungarian'],2018-02-15,2.0,2018.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Hearts Beat Loud,https://www.imdb.com/title/tt7158430/,6.9,8983,97.0,"['Comedy', 'Drama', 'Music']",PG-13,6.5,IMDB,['USA'],['English'],2018-06-15,6.0,2018.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Blaze,https://www.imdb.com/title/tt6443294/,6.6,2497,129.0,"['Biography', 'Drama', 'Music']",R,7.5,IMDB,['USA'],['English'],2018-08-17,8.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
"Juliet, Naked",https://www.imdb.com/title/tt5607096/,6.6,17274,97.0,"['Comedy', 'Drama', 'Music']",R,6.7,IMDB,"['USA', 'UK']",['English'],2018-08-17,8.0,2018.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Forever My Girl,https://www.imdb.com/title/tt4103724/,6.7,13607,108.0,"['Drama', 'Music', 'Romance']",PG,3.6,IMDB,['USA'],['English'],2018-01-19,1.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
Arif V 216,https://www.imdb.com/title/tt6697582/,7.2,31179,125.0,"['Comedy', 'Music', 'Sci_Fi']",,,IMDB,['Turkey'],['Turkish'],2018-01-05,1.0,2018.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Ted - FÃÂ¶r kÃÂ¤rlekens skull,https://www.imdb.com/title/tt6204018/,7.0,2790,120.0,"['Biography', 'Drama', 'Music']",,,IMDB,['Sweden'],['Swedish'],2018-01-03,1.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Pitch Perfect 3,https://www.imdb.com/title/tt4765284/,5.8,53166,93.0,"['Comedy', 'Music']",PG-13,4.0,IMDB,['USA'],"['English', 'Papiamento']",2017-12-22,12.0,2017.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Secret Superstar,https://www.imdb.com/title/tt6108090/,7.9,19430,150.0,"['Drama', 'Music']",Not Rated,,IMDB,['India'],['Hindi'],2017-10-18,10.0,2017.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Lucknow Central,https://www.imdb.com/title/tt5697870/,6.2,2466,133.0,"['Action', 'Drama', 'Music']",Not Rated,,IMDB,['India'],['Hindi'],2017-09-15,9.0,2017.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Brad's Status,https://www.imdb.com/title/tt5884230/,6.5,15304,102.0,"['Comedy', 'Drama', 'Music']",R,7.1,IMDB,['USA'],['English'],2017-09-15,9.0,2017.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Bodied,https://www.imdb.com/title/tt5883570/,7.1,4730,120.0,"['Comedy', 'Drama', 'Music']",R,7.5,IMDB,['USA'],['English'],2018-11-02,11.0,2018.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
On Chesil Beach,https://www.imdb.com/title/tt1667321/,6.3,9009,110.0,"['Drama', 'Music', 'Romance']",R,6.2,IMDB,['UK'],['English'],2018-05-18,5.0,2018.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
The Music of Silence,https://www.imdb.com/title/tt3244786/,6.6,1467,115.0,"['Biography', 'Drama', 'Music']",,2.5,IMDB,['Italy'],['English'],2018-02-02,2.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
"Nico, 1988",https://www.imdb.com/title/tt7186092/,6.7,1348,93.0,"['Biography', 'Drama', 'Music']",R,7.5,IMDB,"['Italy', 'Belgium']","['English', 'German', 'Czech', 'French']",2018-08-01,8.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Coexister,https://www.imdb.com/title/tt6144762/,5.8,1214,90.0,"['Comedy', 'Music']",,,IMDB,['France'],['French'],2017-10-11,10.0,2017.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Pappa pia,https://www.imdb.com/title/tt6609088/,4.7,5477,105.0,"['Comedy', 'Music', 'Romance']",,,IMDB,['Hungary'],['Hungarian'],2017-08-15,8.0,2017.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
American Satan,https://www.imdb.com/title/tt5451690/,5.6,3016,111.0,"['Drama', 'Music', 'Thriller']",R,,IMDB,['USA'],['English'],2017-10-13,10.0,2017.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
Munna Michael,https://www.imdb.com/title/tt6117702/,3.3,2650,140.0,"['Action', 'Drama', 'Music']",Not Rated,,IMDB,['India'],['Hindi'],2017-07-21,7.0,2017.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
England Is Mine,https://www.imdb.com/title/tt3717804/,5.8,2999,94.0,"['Biography', 'Drama', 'Music']",Not Rated,4.5,IMDB,['UK'],['English'],2017-08-25,8.0,2017.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Izzy Gets the F*ck Across Town,https://www.imdb.com/title/tt5198796/,5.4,1441,86.0,"['Comedy', 'Drama', 'Music']",,5.1,IMDB,['USA'],['English'],2018-06-22,6.0,2018.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
All Eyez on Me,https://www.imdb.com/title/tt1666185/,5.8,20499,139.0,"['Biography', 'Drama', 'Music']",R,3.8,IMDB,['USA'],['English'],2017-06-16,6.0,2017.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Djam,https://www.imdb.com/title/tt6814914/,7.2,1173,97.0,"['Adventure', 'Drama', 'Music']",,,IMDB,"['France', 'Greece', 'Turkey']","['French', 'Greek', 'English']",2017-08-09,8.0,2017.0,2010.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
How to Talk to Girls at Parties,https://www.imdb.com/title/tt3859310/,5.7,9077,102.0,"['Comedy', 'Music', 'Romance']",R,5.0,IMDB,"['UK', 'USA']",['English'],2018-05-25,5.0,2018.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
Sperm Whale: Roya's Selection,https://www.imdb.com/title/tt5658296/,5.2,1543,86.0,"['Comedy', 'Drama', 'Music']",,,IMDB,['Iran'],['Persian'],2017-05-10,5.0,2017.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
The Girl from the Song,https://www.imdb.com/title/tt6336270/,5.6,1476,102.0,"['Drama', 'Music', 'Romance']",,,IMDB,['Spain'],['English'],2017-11-29,11.0,2017.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
Song to Song,https://www.imdb.com/title/tt2062700/,5.7,17817,129.0,"['Drama', 'Music', 'Romance']",R,5.4,IMDB,['USA'],['English'],2017-03-17,3.0,2017.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
Kiss and Cry,https://www.imdb.com/title/tt5224012/,6.8,2385,95.0,"['Biography', 'Drama', 'Music']",,,IMDB,['Canada'],['English'],2017-08-31,8.0,2017.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Django,https://www.imdb.com/title/tt6247936/,6.3,1387,117.0,"['Biography', 'Drama', 'Music']",PG-13,4.9,IMDB,['France'],"['French', 'German', 'English', 'Romany']",2017-04-26,4.0,2017.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Band Aid,https://www.imdb.com/title/tt5816374/,6.6,5063,91.0,"['Comedy', 'Drama', 'Music']",R,6.7,IMDB,['USA'],['English'],2017-06-09,6.0,2017.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Patti Cake$,https://www.imdb.com/title/tt6288250/,6.8,9330,109.0,"['Drama', 'Music']",R,6.7,IMDB,['USA'],['English'],2017-08-18,8.0,2017.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Roxanne Roxanne,https://www.imdb.com/title/tt5796838/,6.2,2589,100.0,"['Biography', 'Drama', 'Music']",,7.4,IMDB,['USA'],['English'],2018-03-23,3.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Dalida,https://www.imdb.com/title/tt5039860/,7.0,2552,127.0,"['Biography', 'Drama', 'Music']",PG,,IMDB,['France'],"['French', 'Italian', 'English', 'Arabic']",2017-09-01,9.0,2017.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Rock On 2,https://www.imdb.com/title/tt2137241/,5.0,1869,143.0,"['Drama', 'Music']",Not Rated,,IMDB,['India'],['Hindi'],2016-11-11,11.0,2016.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Ae Dil Hai Mushkil,https://www.imdb.com/title/tt4559006/,5.8,19987,158.0,"['Drama', 'Music', 'Musical']",Not Rated,4.0,IMDB,['India'],['Hindi'],2016-10-28,10.0,2016.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
Banjo,https://www.imdb.com/title/tt5755606/,4.9,1072,137.0,"['Action', 'Drama', 'Music']",Not Rated,,IMDB,['India'],['Hindi'],2016-09-23,9.0,2016.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
La La Land,https://www.imdb.com/title/tt3783958/,8.0,484223,128.0,"['Comedy', 'Drama', 'Music']",PG-13,9.4,IMDB,"['USA', 'Hong Kong']",['English'],2016-12-25,12.0,2016.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Elis,https://www.imdb.com/title/tt4875150/,6.7,1286,110.0,"['Biography', 'Drama', 'Music']",,,IMDB,['Brazil'],['Portuguese'],2016-11-24,11.0,2016.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
XOXO,https://www.imdb.com/title/tt4855748/,5.3,6459,92.0,"['Drama', 'Music']",,,IMDB,['USA'],['English'],2016-08-26,8.0,2016.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
David Brent: Life on the Road,https://www.imdb.com/title/tt3137630/,6.3,17790,96.0,"['Comedy', 'Music']",,5.4,IMDB,"['UK', 'USA']",['English'],2017-02-10,2.0,2017.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Emo the Musical,https://www.imdb.com/title/tt5460068/,6.1,1092,94.0,"['Comedy', 'Music', 'Musical']",TV-14,,IMDB,['Australia'],['English'],2017-05-04,5.0,2017.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
Teit meistÃÂ¤ kauniin,https://www.imdb.com/title/tt5032492/,6.3,1188,111.0,"['Biography', 'Drama', 'Music']",,,IMDB,['Finland'],['Finnish'],2016-09-07,9.0,2016.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
London Town,https://www.imdb.com/title/tt1724597/,6.3,2025,92.0,"['Drama', 'Music']",R,4.6,IMDB,"['UK', 'Germany', 'USA']",['English'],2016-10-07,10.0,2016.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Popstar: Never Stop Never Stopping,https://www.imdb.com/title/tt3960412/,6.7,52472,87.0,"['Comedy', 'Music']",R,6.8,IMDB,"['USA', 'China']",['English'],2016-06-03,6.0,2016.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Ordinary World,https://www.imdb.com/title/tt4189494/,5.5,2774,86.0,"['Comedy', 'Drama', 'Music']",Not Rated,5.5,IMDB,['USA'],['English'],2016-10-14,10.0,2016.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Nina,https://www.imdb.com/title/tt0493076/,5.4,2499,90.0,"['Biography', 'Drama', 'Music']",Not Rated,2.7,IMDB,['UK'],"['English', 'French']",2016-04-22,4.0,2016.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
High Strung,https://www.imdb.com/title/tt3451230/,6.4,8177,96.0,"['Drama', 'Music', 'Romance']",PG,4.8,IMDB,"['Romania', 'USA']",['English'],2016-04-08,4.0,2016.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
"Hail, Caesar!",https://www.imdb.com/title/tt0475290/,6.3,120640,106.0,"['Comedy', 'Drama', 'Music']",PG-13,7.2,IMDB,"['USA', 'UK', 'Japan']",['English'],2016-02-05,2.0,2016.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Sing Street,https://www.imdb.com/title/tt3544112/,7.9,82159,106.0,"['Comedy', 'Drama', 'Music']",PG-13,7.9,IMDB,"['Ireland', 'UK']","['English', 'French', 'Latin']",2016-03-17,3.0,2016.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Cloudy Sunday,https://www.imdb.com/title/tt4508712/,6.4,1381,116.0,"['Drama', 'Music', 'War']",,,IMDB,['Greece'],['Greek'],2015-12-03,12.0,2015.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
Rock the Kasbah,https://www.imdb.com/title/tt3164256/,5.5,10488,106.0,"['Comedy', 'Music', 'War']",R,2.9,IMDB,['USA'],['English'],2015-10-23,10.0,2015.0,2010.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Comment c'est loin,https://www.imdb.com/title/tt4576612/,7.0,1462,90.0,"['Comedy', 'Drama', 'Music']",,,IMDB,['France'],['French'],2015-12-09,12.0,2015.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Miles Ahead,https://www.imdb.com/title/tt0790770/,6.4,9081,100.0,"['Biography', 'Drama', 'Music']",R,6.4,IMDB,['USA'],['English'],2016-04-22,4.0,2016.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Born to Be Blue,https://www.imdb.com/title/tt2133196/,6.9,7749,97.0,"['Biography', 'Drama', 'Music']",R,6.4,IMDB,"['Canada', 'UK']","['English', 'Italian']",2016-03-30,3.0,2016.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
I Saw the Light,https://www.imdb.com/title/tt1490785/,5.7,6111,123.0,"['Biography', 'Drama', 'Music']",R,4.7,IMDB,['USA'],['English'],2016-04-01,4.0,2016.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
As I Open My Eyes,https://www.imdb.com/title/tt4400174/,6.8,1211,102.0,"['Drama', 'Music']",Unrated,7.4,IMDB,"['Tunisia', 'France', 'Belgium', 'United Arab Emirates', 'Switzerland']","['Arabic', 'French']",2015-12-23,12.0,2015.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Marguerite,https://www.imdb.com/title/tt4428788/,7.0,4798,129.0,"['Comedy', 'Drama', 'Music']",R,7.6,IMDB,"['France', 'Czech Republic', 'Belgium']","['French', 'English', 'Italian']",2016-03-11,3.0,2016.0,2010.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
The Fits,https://www.imdb.com/title/tt4238858/,6.7,4452,72.0,"['Drama', 'Music']",Not Rated,9.0,IMDB,['USA'],['English'],2017-01-11,1.0,2017.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
We Are Your Friends,https://www.imdb.com/title/tt3787590/,6.2,34949,96.0,"['Drama', 'Music', 'Romance']",R,4.6,IMDB,"['UK', 'France', 'USA']",['English'],2015-08-28,8.0,2015.0,2010.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
Kill Your Friends,https://www.imdb.com/title/tt2474958/,6.0,8716,103.0,"['Comedy', 'Crime', 'Music']",Not Rated,4.5,IMDB,['UK'],['English'],2016-04-01,4.0,2016.0,2010.0,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
