Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date,Month,Year,Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
Koma,https://www.imdb.com/title/tt6087226/,6.5,2338,111.0,"['Action', 'Adventure', 'Fantasy']",,,IMDB,['Russia'],['Russian'],2020-01-30,1.0,2020.0,2020.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Marjaavaan,https://www.imdb.com/title/tt9248934/,3.5,2461,152.0,"['Action', 'Drama', 'Romance']",Not Rated,,IMDB,['India'],['Hindi'],2019-11-15,11.0,2019.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Grand Isle,https://www.imdb.com/title/tt8380776/,4.5,1666,97.0,"['Action', 'Thriller']",,2.9,IMDB,['USA'],['English'],2020-01-03,1.0,2020.0,2020.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Radioflash,https://www.imdb.com/title/tt7288408/,5.6,2071,103.0,"['Action', 'Drama', 'Sci_Fi']",Unrated,3.4,IMDB,['USA'],['English'],2019-11-15,11.0,2019.0,2010.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Line of Duty,https://www.imdb.com/title/tt3541524/,5.3,3751,98.0,"['Action', 'Crime', 'Thriller']",R,5.0,IMDB,"['UK', 'USA']",['English'],2019-11-15,11.0,2019.0,2010.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Charlie's Angels,https://www.imdb.com/title/tt5033998/,4.7,45248,118.0,"['Action', 'Adventure', 'Comedy']",PG-13,5.2,IMDB,"['Germany', 'USA']","['English', 'French', 'Portuguese', 'German', 'Turkish']",2019-11-15,11.0,2019.0,2010.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Primal,https://www.imdb.com/title/tt7394816/,4.9,3815,97.0,"['Action', 'Thriller']",R,3.2,IMDB,['USA'],['English'],2019-11-08,11.0,2019.0,2010.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Drive,https://www.imdb.com/title/tt6593054/,2.8,3804,147.0,"['Action', 'Crime', 'Thriller']",Not Rated,,IMDB,['India'],['Hindi'],2019-11-01,11.0,2019.0,2010.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Twin Murders: The Silence of the White City,https://www.imdb.com/title/tt8393332/,5.2,3239,110.0,"['Action', 'Adventure', 'Crime']",,,IMDB,['Spain'],['Spanish'],2020-03-06,3.0,2020.0,2020.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Housefull 4,https://www.imdb.com/title/tt7721946/,3.4,8634,145.0,"['Action', 'Comedy', 'Fantasy']",Not Rated,,IMDB,['India'],['Hindi'],2019-10-25,10.0,2019.0,2010.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
