Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date,Month,Year,Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
Seberg,https://www.imdb.com/title/tt1780967/,5.6,4000,102.0,"['Biography', 'Drama', 'Thriller']",R,5.4,IMDB,"['UK', 'USA']","['English', 'French']",2019-12-13,12.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
VariaÃÂ§ÃÂµes: Guardian Angel,https://www.imdb.com/title/tt2155399/,7.3,2119,109.0,"['Biography', 'Drama', 'Music']",,,IMDB,['Portugal'],"['Portuguese', 'English', 'Dutch']",2019-08-22,8.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
General,https://www.imdb.com/title/tt6916502/,3.1,1694,145.0,"['Biography', 'Drama', 'History']",,,IMDB,['Croatia'],"['Croatian', 'French', 'Serbian', 'English']",2019-08-05,8.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Super 30,https://www.imdb.com/title/tt7485048/,8.0,18384,154.0,"['Biography', 'Drama']",Not Rated,,IMDB,['India'],['Hindi'],2019-07-12,7.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mrs Lowry & Son,https://www.imdb.com/title/tt7590074/,6.6,1180,91.0,"['Biography', 'Drama', 'History']",Not Rated,4.2,IMDB,['UK'],['English'],2019-11-01,11.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
The Passage,https://www.imdb.com/title/tt10443808/,7.0,1387,150.0,"['Action', 'Biography', 'Drama']",,,IMDB,['Egypt'],['Arabic'],2019-07-11,7.0,2019.0,2010.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Traitor,https://www.imdb.com/title/tt7736478/,7.1,6514,153.0,"['Biography', 'Crime', 'Drama']",R,6.4,IMDB,"['Italy', 'France', 'Germany', 'Brazil']","['Italian', 'Sicilian', 'Portuguese', 'English']",2020-05-12,5.0,2020.0,2020.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A Hidden Life,https://www.imdb.com/title/tt5827916/,7.4,13889,174.0,"['Biography', 'Drama', 'Romance']",PG-13,7.8,IMDB,"['USA', 'UK', 'Germany']","['English', 'German', 'Italian']",2020-01-17,1.0,2020.0,2020.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Kardec,https://www.imdb.com/title/tt9213932/,6.2,1095,110.0,['Biography'],,,IMDB,['Brazil'],['Portuguese'],2019-05-16,5.0,2019.0,2010.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rocketman,https://www.imdb.com/title/tt2066051/,7.3,121570,121.0,"['Biography', 'Drama', 'Music']",R,6.9,IMDB,"['UK', 'USA', 'Canada']",['English'],2019-05-31,5.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Tolkien,https://www.imdb.com/title/tt3361792/,6.8,28974,112.0,"['Biography', 'Drama', 'Romance']",PG-13,4.8,IMDB,['USA'],"['English', 'Middle English', 'Old English', 'Latin', 'German']",2019-05-10,5.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Breakthrough,https://www.imdb.com/title/tt7083526/,6.2,7562,116.0,"['Biography', 'Drama']",PG,4.6,IMDB,['USA'],['English'],2019-04-17,4.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
PM Narendra Modi,https://www.imdb.com/title/tt9558612/,3.1,4847,136.0,"['Biography', 'Drama']",Not Rated,,IMDB,['India'],"['Hindi', 'Tamil']",2019-05-24,5.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Best of Enemies,https://www.imdb.com/title/tt4807408/,7.1,7900,133.0,"['Biography', 'Drama', 'History']",PG-13,4.9,IMDB,['USA'],['English'],2019-04-05,4.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Curiosa,https://www.imdb.com/title/tt7598076/,5.4,1150,107.0,"['Biography', 'Drama', 'History']",,,IMDB,['France'],['French'],2019-04-03,4.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Unplanned,https://www.imdb.com/title/tt9024106/,5.8,12056,109.0,"['Biography', 'Drama']",R,1.0,IMDB,['USA'],['English'],2019-03-29,3.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Dirt,https://www.imdb.com/title/tt0800325/,7.0,36575,107.0,"['Biography', 'Comedy', 'Drama']",,3.9,IMDB,['USA'],['English'],2019-03-22,3.0,2019.0,2010.0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Professor and the Madman,https://www.imdb.com/title/tt5932728/,7.3,28055,124.0,"['Biography', 'Drama']",,2.5,IMDB,"['Ireland', 'France', 'Iceland', 'USA', 'Mexico', 'Belgium', 'UK', 'Hong Kong']",['English'],2019-05-10,5.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Highwaymen,https://www.imdb.com/title/tt1860242/,6.9,67814,132.0,"['Biography', 'Crime', 'Drama']",R,5.8,IMDB,['USA'],"['English', 'Spanish']",2019-03-29,3.0,2019.0,2010.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Walk. Ride. Rodeo.,https://www.imdb.com/title/tt5848416/,6.4,1674,100.0,"['Biography', 'Drama']",TV-PG,,IMDB,['USA'],['English'],2019-03-08,3.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Kid,https://www.imdb.com/title/tt4975920/,5.9,6077,100.0,"['Biography', 'Drama', 'Western']",R,5.1,IMDB,['USA'],['English'],2019-03-08,3.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Amundsen,https://www.imdb.com/title/tt6054846/,6.2,2285,125.0,"['Biography', 'Drama', 'History']",,,IMDB,"['Norway', 'Sweden', 'Czech Republic']","['Norwegian', 'English']",2019-02-15,2.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Elisa y Marcela,https://www.imdb.com/title/tt6704898/,6.5,2920,118.0,"['Biography', 'Drama', 'Romance']",,3.3,IMDB,['Spain'],"['Spanish', 'Portuguese']",2019-06-07,6.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Mr. Jones,https://www.imdb.com/title/tt6828390/,6.8,4046,141.0,"['Biography', 'Drama', 'Thriller']",,6.8,IMDB,"['Poland', 'UK', 'Ukraine']","['English', 'Ukrainian', 'Russian', 'Welsh']",2019-10-25,10.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Fighting with My Family,https://www.imdb.com/title/tt6513120/,7.1,61114,108.0,"['Biography', 'Comedy', 'Drama']",PG-13,6.8,IMDB,"['UK', 'USA', 'Mexico']",['English'],2019-02-22,2.0,2019.0,2010.0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Official Secrets,https://www.imdb.com/title/tt5431890/,7.3,23070,112.0,"['Biography', 'Crime', 'Drama']",R,6.3,IMDB,"['UK', 'USA', 'Switzerland', 'China']","['English', 'Mandarin']",2019-08-30,8.0,2019.0,2010.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Report,https://www.imdb.com/title/tt8236336/,7.2,27759,119.0,"['Biography', 'Crime', 'Drama']",R,6.6,IMDB,['USA'],['English'],2019-11-15,11.0,2019.0,2010.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"Extremely Wicked, Shockingly Evil and Vile",https://www.imdb.com/title/tt2481498/,6.6,71583,110.0,"['Biography', 'Crime', 'Drama']",R,5.2,IMDB,['USA'],['English'],2019-05-03,5.0,2019.0,2010.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Thackeray,https://www.imdb.com/title/tt7777196/,5.2,2673,120.0,"['Biography', 'Drama']",Not Rated,,IMDB,['India'],"['Hindi', 'Marathi']",2019-01-25,1.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Manikarnika: The Queen of Jhansi,https://www.imdb.com/title/tt6903440/,6.4,8337,148.0,"['Action', 'Biography', 'Drama']",Not Rated,,IMDB,['India'],"['Hindi', 'Tamil', 'Telugu']",2019-01-25,1.0,2019.0,2010.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Wish Man,https://www.imdb.com/title/tt3246874/,7.2,1401,107.0,['Biography'],Not Rated,,IMDB,['USA'],['English'],2019-06-07,6.0,2019.0,2010.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Accidental Prime Minister,https://www.imdb.com/title/tt6986710/,6.0,5948,112.0,"['Biography', 'Drama']",Not Rated,,IMDB,['India'],"['Hindi', 'English']",2019-01-11,1.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
NTR Kathanayakudu,https://www.imdb.com/title/tt7884228/,5.7,1775,169.0,"['Biography', 'Drama']",Not Rated,,IMDB,['India'],"['Telugu', 'Hindi']",2019-01-09,1.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
All Is True,https://www.imdb.com/title/tt9206798/,6.2,3010,101.0,"['Biography', 'Drama', 'History']",PG-13,5.9,IMDB,['UK'],['English'],2019-05-10,5.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Welcome to Marwen,https://www.imdb.com/title/tt3289724/,6.2,17365,116.0,"['Biography', 'Comedy', 'Drama']",PG-13,4.0,IMDB,"['Japan', 'USA']","['English', 'German', 'French', 'Russian']",2018-12-21,12.0,2018.0,2010.0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Yatra,https://www.imdb.com/title/tt3996396/,8.2,3200,127.0,"['Biography', 'Drama', 'Romance']",Not Rated,,IMDB,['India'],['Telugu'],2019-02-08,2.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
All About Me,https://www.imdb.com/title/tt5581284/,7.4,2720,100.0,"['Biography', 'Comedy', 'Drama']",,,IMDB,['Germany'],['German'],2018-12-25,12.0,2018.0,2010.0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Vice,https://www.imdb.com/title/tt6266538/,7.2,110951,132.0,"['Biography', 'Comedy', 'Drama']",R,6.1,IMDB,['USA'],"['English', 'Arabic']",2018-12-25,12.0,2018.0,2010.0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
City of Lies,https://www.imdb.com/title/tt2677722/,6.3,4678,112.0,"['Biography', 'Crime', 'Drama']",R,,IMDB,"['UK', 'USA']","['English', 'Spanish']",2018-12-21,12.0,2018.0,2010.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Bizim IÃÂ§in Sampiyon,https://www.imdb.com/title/tt9124428/,8.4,8507,130.0,"['Biography', 'Drama', 'Romance']",,,IMDB,['Turkey'],['Turkish'],2018-12-07,12.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
