Movie_Rank,Movie_Title,Movie_Rating,Genre,Rated,Runtime,Release Date
40,Spider-Man: Far From Home,0.91,"Action & Adventure,                                                   Science Fiction & Fantasy","PG-13 (for sci-fi action violence, some language and brief suggestive comments)",130 minutes,"Jul 2, 2019
                        
 wide"
41,All About Eve,0.99,"Classics,                                                   Drama",PG,138 minutes,"Jan 1, 1950
                        
 wide"
42,Logan,0.93,"Action & Adventure,                                                   Drama,                                                   Science Fiction & Fantasy","R (for strong brutal violence and language throughout, and for brief nudity)",135 minutes,"Mar 3, 2017
                        
 wide"
43,E.T. The Extra-Terrestrial,0.98,"Kids & Family,                                                   Science Fiction & Fantasy",PG,114 minutes,"Jun 11, 1982
                        
 wide"
44,Call Me by Your Name,0.95,"Drama,                                                   Romance","R (for sexual content, nudity and some language)",130 minutes,"Jan 19, 2018
                        
 wide"
45,The Big Sick,0.98,"Comedy,                                                   Romance",R (for language including some sexual references),119 minutes,"Jul 14, 2017
                        
 wide"
46,Incredibles 2,0.94,"Action & Adventure,                                                   Animation,                                                   Kids & Family",PG (for action sequences and some brief mild language),118 minutes,"Jun 15, 2018
                        
 wide"
47,The Favourite,0.93,Drama,"R (for strong sexual content, nudity and language)",119 minutes,"Nov 23, 2018
                        
 limited"
48,Star Wars: The Last Jedi,0.9,"Action & Adventure,                                                   Drama,                                                   Science Fiction & Fantasy",PG-13 (for sequences of sci-fi action and violence),152 minutes,"Dec 15, 2017
                        
 wide"
49,King Kong,0.98,"Action & Adventure,                                                   Classics,                                                   Horror",G,103 minutes,"Jan 1, 1933
                        
 wide"
50,Shadow of a Doubt,1.0,"Classics,                                                   Drama,                                                   Mystery & Suspense",PG,108 minutes,"Jan 12, 1943
                        
 wide"
51,The Bride of Frankenstein,1.0,"Classics,                                                   Horror,                                                   Science Fiction & Fantasy,                                                   Special Interest",NR,75 minutes,"Apr 22, 1935
                        
 wide"
52,Paddington 2,1.0,"Animation,                                                   Comedy,                                                   Kids & Family",PG (for some action and mild rude humor),105 minutes,"Jan 12, 2018
                        
 wide"
53,Star Wars: Episode VII - The Force Awakens,0.93,"Action & Adventure,                                                   Science Fiction & Fantasy",PG-13 (for sci-fi action violence),136 minutes,"Dec 18, 2015
                        
 wide"
54,Laura,1.0,"Classics,                                                   Mystery & Suspense",NR,90 minutes,"Oct 11, 1944
                        
 wide"
55,The Adventures of Robin Hood,1.0,"Action & Adventure,                                                   Classics,                                                   Romance",PG,102 minutes,"May 14, 1938
                        
 wide"
56,Gravity,0.96,"Drama,                                                   Science Fiction & Fantasy","PG-13 (for intense perilous sequences, some disturbing images and brief strong language)",91 minutes,"Oct 4, 2013
                        
 wide"
57,Once Upon a Time In Hollywood,0.85,"Comedy,                                                   Drama","R (for language throughout, some strong graphic violence, drug use, and sexual references)",159 minutes,"Jul 26, 2019
                        
 wide"
58,Boyhood,0.97,Drama,"R (for language including sexual references, and for teen drug and alcohol use)",165 minutes,"Jul 11, 2014
                        
 wide"
59,Alien,0.98,"Drama,                                                   Mystery & Suspense,                                                   Science Fiction & Fantasy",R (for sci-fi violence/ gore and language),117 minutes,"May 25, 1979
                        
 limited"
60,Leave No Trace,1.0,Drama,PG (for thematic material throughout),109 minutes,"Jun 29, 2018
                        
 limited"
61,Manchester by the Sea,0.96,Drama,R (for language throughout and some sexual content.),135 minutes,"Dec 16, 2016
                        
 wide"
62,Argo,0.96,"Drama,                                                   Mystery & Suspense",R (for language and some violent images),120 minutes,"Oct 12, 2012
                        
 wide"
63,La La Land,0.91,"Comedy,                                                   Drama,                                                   Musical & Performing Arts",PG-13 (for some language),128 minutes,"Dec 9, 2016
                        
 limited"
64,12 Years a Slave,0.95,Drama,"R (for violence/cruelty, some nudity and brief sexuality)",134 minutes,"Oct 18, 2013
                        
 limited"
65,The Battle of Algiers (La Battaglia di Algeri),0.99,"Art House & International,                                                   Drama",NR,123 minutes,"Sep 20, 1967
                        
 limited"
66,Zootopia,0.98,"Action & Adventure,                                                   Animation,                                                   Comedy","PG (for some thematic elements, rude humor and action)",108 minutes,"Mar 4, 2016
                        
 wide"
67,The Maltese Falcon,1.0,"Drama,                                                   Mystery & Suspense",PG,101 minutes,"Oct 18, 1941
                        
 wide"
68,Top Hat,1.0,"Classics,                                                   Comedy,                                                   Musical & Performing Arts,                                                   Romance",NR,99 minutes,"Sep 6, 1935
                        
 wide"
69,A Hard Day's Night,0.98,"Classics,                                                   Comedy,                                                   Musical & Performing Arts",G,87 minutes,"Aug 11, 1964
                        
 wide"
70,War for the Planet of the Apes,0.94,"Action & Adventure,                                                   Drama,                                                   Science Fiction & Fantasy","PG-13 (for sequences of sci-fi violence and action, thematic elements, and some disturbing images)",140 minutes,"Jul 14, 2017
                        
 wide"
71,Psycho,0.96,"Classics,                                                   Horror,                                                   Mystery & Suspense","R (adult situations/language, violence)",109 minutes,"Jun 16, 1960
                        
 wide"
72,The Florida Project,0.96,Drama,"R (for language throughout, disturbing behavior, sexual references and some drug material)",115 minutes,"Oct 6, 2017
                        
 limited"
73,The Philadelphia Story,1.0,"Classics,                                                   Comedy,                                                   Romance",NR,112 minutes,"Dec 1, 1940
                        
 wide"
74,Widows,0.91,Drama,"R (for violence, language throughout, and some sexual content/nudity)",128 minutes,"Nov 16, 2018
                        
 wide"
75,Metropolis,0.97,"Action & Adventure,                                                   Art House & International,                                                   Classics,                                                   Drama,                                                   Science Fiction & Fantasy",PG-13,115 minutes,"Mar 13, 1927
                        
 wide"
76,Spider-Man: Homecoming,0.92,"Action & Adventure,                                                   Drama,                                                   Science Fiction & Fantasy","PG-13 (for sci-fi action violence, some language and brief suggestive comments)",133 minutes,"Jul 7, 2017
                        
 wide"
77,M,1.0,"Art House & International,                                                   Drama,                                                   Mystery & Suspense",NR,105 minutes,"Aug 31, 1931
                        
 wide"
78,Rebecca,1.0,"Classics,                                                   Drama,                                                   Mystery & Suspense",NR,130 minutes,"Mar 27, 1940
                        
 limited"
79,The Night of the Hunter,0.99,"Drama,                                                   Mystery & Suspense",PG,93 minutes,"Jan 1, 1955
                        
 wide"
80,North by Northwest,0.99,"Classics,                                                   Mystery & Suspense",NR,136 minutes,"Sep 17, 1959
                        
 wide"
81,Seven Samurai (Shichinin no Samurai),1.0,"Action & Adventure,                                                   Art House & International,                                                   Classics,                                                   Drama",G,204 minutes,"Nov 19, 1956
                        
 wide"
82,Baby Driver,0.92,"Action & Adventure,                                                   Drama",R (for violence and language throughout.),113 minutes,"Jun 28, 2017
                        
 wide"
83,"Three Billboards Outside Ebbing, Missouri",0.91,"Comedy,                                                   Drama","R (for violence, language throughout, and some sexual references)",115 minutes,"Dec 1, 2017
                        
 wide"
84,Shoplifters (Manbiki kazoku),0.99,"Art House & International,                                                   Drama",R (for some sexual content and nudity),121 minutes,"Nov 23, 2018
                        
 limited"
85,Shazam!,0.9,"Action & Adventure,                                                   Science Fiction & Fantasy","PG-13 (for intense sequences of action, language, and suggestive material)",130 minutes,"Apr 5, 2019
                        
 wide"
86,Sunset Boulevard,0.98,"Classics,                                                   Drama",G,111 minutes,"Aug 4, 1950
                        
 wide"
87,Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief),0.98,Drama,NR,90 minutes,"Dec 13, 1949
                        
 limited"
88,Hell or High Water,0.97,"Drama,                                                   Mystery & Suspense","R (for some strong violence, language throughout and brief sexuality)",102 minutes,"Aug 12, 2016
                        
 limited"
89,Touch of Evil,0.96,"Classics,                                                   Drama,                                                   Mystery & Suspense",PG-13 (for some violence and drug content),95 minutes,"May 21, 1958
                        
 wide"
90,Up,0.98,"Action & Adventure,                                                   Animation,                                                   Comedy,                                                   Kids & Family",PG (for some peril and action),89 minutes,"May 29, 2009
                        
 wide"
91,Pinocchio,1.0,"Animation,                                                   Kids & Family,                                                   Musical & Performing Arts,                                                   Science Fiction & Fantasy",G,88 minutes,"Feb 7, 1940
                        
 wide"
92,Jaws,0.98,"Action & Adventure,                                                   Drama,                                                   Mystery & Suspense","PG (adult situations/language, violence)",124 minutes,"Jun 1, 1975
                        
 wide"
93,Toy Story 2,1.0,"Animation,                                                   Comedy,                                                   Kids & Family",G,92 minutes,"Nov 24, 1999
                        
 wide"
94,Captain America: Civil War,0.91,"Action & Adventure,                                                   Science Fiction & Fantasy","PG-13 (for extended sequences of violence, action and mayhem)",146 minutes,"May 6, 2016
                        
 wide"
95,A Streetcar Named Desire,0.98,"Classics,                                                   Drama",PG,122 minutes,"Sep 19, 1951
                        
 limited"
96,Won't You Be My Neighbor?,0.97,Documentary,PG-13 (for some thematic elements and language),94 minutes,"Sep 4, 2018"
97,Chinatown,0.99,"Classics,                                                   Drama,                                                   Mystery & Suspense",R,130 minutes,"Jan 1, 1974
                        
 wide"
98,Lawrence of Arabia,0.98,"Action & Adventure,                                                   Classics,                                                   Drama",PG (N/A),222 minutes,"Dec 16, 1962
                        
 wide"
99,I Am Not Your Negro,0.99,Documentary,"PG-13 (for disturbing violent images, thematic material, language and brief nudity.)",93 minutes,"Feb 3, 2017
                        
 limited"
100,Rear Window,0.99,"Classics,                                                   Drama,                                                   Mystery & Suspense",PG,115 minutes,"Sep 1, 1954
                        
 wide"
