Title,URL
Cordélia,https://www.imdb.com/title/tt0085365/
Inferno,https://www.imdb.com/title/tt0080923/
Vasárnapi szülök,https://www.imdb.com/title/tt0080082/
Cannibal Holocaust,https://www.imdb.com/title/tt0078935/
Décharge tout,https://www.imdb.com/title/tt12396178/
Rodriguez au pays des merguez,https://www.imdb.com/title/tt0226389/
On a volé la cuisse de Jupiter,https://www.imdb.com/title/tt0081276/
Cocktail Molotov,https://www.imdb.com/title/tt0080552/
Anna Makossa,https://www.imdb.com/title/tt0080372/
Atsuku hiraite,https://www.imdb.com/title/tt9783676/
Pochti lyubovna istoriya,https://www.imdb.com/title/tt0177116/
La verdad sobre el caso Savolta,https://www.imdb.com/title/tt0079617/
Yobai dai-hyakka: Sakura-gai dorobô,https://www.imdb.com/title/tt7293916/
Gad Jejuri Jejuri,https://www.imdb.com/title/tt3689316/
Rape hunter: Nerawareta onna,https://www.imdb.com/title/tt0288188/
Shôwa erotica: Bara no kifujin,https://www.imdb.com/title/tt0287699/
Speed Cross,https://www.imdb.com/title/tt0124302/
Sankarabharanam,https://www.imdb.com/title/tt0079889/
Joshû ijô seiai,https://www.imdb.com/title/tt9783658/
Jian qi man tian Hua Man Lou,https://www.imdb.com/title/tt2238809/
Biza izintombi,https://www.imdb.com/title/tt1692979/
Batasi,https://www.imdb.com/title/tt1545584/
Shesh Bichar,https://www.imdb.com/title/tt1523545/
Pankhiraj,https://www.imdb.com/title/tt1523526/
Problem Child,https://www.imdb.com/title/tt0757924/
The Legend of Alfred Packer,https://www.imdb.com/title/tt0251182/
"Good Morning, Sunshine",https://www.imdb.com/title/tt0188644/
Osam kila srece,https://www.imdb.com/title/tt0170340/
Cas pracuje pro vraha,https://www.imdb.com/title/tt0138351/
Fatso,https://www.imdb.com/title/tt0080724/
American Gigolo,https://www.imdb.com/title/tt0080365/
Il ladrone,https://www.imdb.com/title/tt0078926/
Animalympics,https://www.imdb.com/title/tt0078780/
Kinbaku ikenie,https://www.imdb.com/title/tt9783034/
Yogoreta kankei: Jôfu,https://www.imdb.com/title/tt9777544/
Uraban joshi gakusei: Bôryoku kyôshitsu,https://www.imdb.com/title/tt9777536/
Gômon onna ankokushi,https://www.imdb.com/title/tt9777532/
The Problem of Patty Melt,https://www.imdb.com/title/tt9492214/
Garsonyer,https://www.imdb.com/title/tt7571960/
Karanlik Sokaklar,https://www.imdb.com/title/tt7566128/
Chikan tsûgaku densha,https://www.imdb.com/title/tt7482092/
Joe Cocker: Cry Me a River - Live in Berlin,https://www.imdb.com/title/tt2981528/
Nure-nure shimai,https://www.imdb.com/title/tt2353720/
Kairaku ningyô,https://www.imdb.com/title/tt2338346/
Tian tang meng,https://www.imdb.com/title/tt2153468/
Priklyucheniya malenkogo papy,https://www.imdb.com/title/tt2040475/
A schaste ryadom,https://www.imdb.com/title/tt1636723/
'Eto na naman si Asiong Aksaya!,https://www.imdb.com/title/tt1172150/
Skandal,https://www.imdb.com/title/tt10848096/
SamsaraBandam,https://www.imdb.com/title/tt0779761/
Death on Credit,https://www.imdb.com/title/tt0310990/
Kotorski mornari,https://www.imdb.com/title/tt0181635/
Hardly Working,https://www.imdb.com/title/tt0082501/
Journeys from Berlin/1971,https://www.imdb.com/title/tt0080969/
Amigo,https://www.imdb.com/title/tt0080753/
The Fog,https://www.imdb.com/title/tt0080749/
Doslo doba da se ljubav proba,https://www.imdb.com/title/tt0080652/
Cuba Crossing,https://www.imdb.com/title/tt0080580/
Cardiac Arrest,https://www.imdb.com/title/tt0080497/
Liu he ba fa,https://www.imdb.com/title/tt0076321/
Comme une femme,https://www.imdb.com/title/tt0236110/
Retour en force,https://www.imdb.com/title/tt0228780/
To All a Goodnight,https://www.imdb.com/title/tt0086449/
Sparsh,https://www.imdb.com/title/tt0079938/
Intô mesuneko,https://www.imdb.com/title/tt9783592/
Limbas at labuyo,https://www.imdb.com/title/tt2268501/
Poseban tretman,https://www.imdb.com/title/tt0081546/
Opasnye druzya,https://www.imdb.com/title/tt0314464/
Tvingad att leva,https://www.imdb.com/title/tt0081667/
Blomstrande tider,https://www.imdb.com/title/tt0080445/
Un millón por tu historia,https://www.imdb.com/title/tt0079556/
Droga daleka przed nami...,https://www.imdb.com/title/tt0079084/
Falsche Bilder,https://www.imdb.com/title/tt1032175/
El consenso,https://www.imdb.com/title/tt0078994/
Tobe ikarosu no tsubasa,https://www.imdb.com/title/tt1584825/
Le château de cartes,https://www.imdb.com/title/tt0137429/
Tempyo no iraka,https://www.imdb.com/title/tt0074994/
The Devils of Karate,https://www.imdb.com/title/tt9714706/
Totoy balasa,https://www.imdb.com/title/tt2266883/
25 Taong takas,https://www.imdb.com/title/tt2081378/
Beach House,https://www.imdb.com/title/tt0499621/
Sufferloh - Von heiliger Lieb und Trutz,https://www.imdb.com/title/tt0429134/
Kali Ghata,https://www.imdb.com/title/tt0357826/
Khubsoorat,https://www.imdb.com/title/tt0244585/
Land og synir,https://www.imdb.com/title/tt0203639/
Nakaw na pag-ibig,https://www.imdb.com/title/tt0125427/
Night of the Juggler,https://www.imdb.com/title/tt0081230/
Ai yuan Chi Qian Lou,https://www.imdb.com/title/tt2320208/
El secreto,https://www.imdb.com/title/tt0341567/
El secuestro de los cien millones,https://www.imdb.com/title/tt0314633/
Chu cu chuo tou fa cu cai,https://www.imdb.com/title/tt0198370/
Hogyan felejtsük el életünk legnagyobb szerelmét...?,https://www.imdb.com/title/tt0079298/
L'amour mensonge,https://www.imdb.com/title/tt2388695/
Nani Maa,https://www.imdb.com/title/tt2186546/
Les Brouteuses infernales,https://www.imdb.com/title/tt12395460/
Shi ba,https://www.imdb.com/title/tt0081498/
Death Watch,https://www.imdb.com/title/tt0081182/
Caboblanco,https://www.imdb.com/title/tt0080485/
"It's Not Me, It's Him",https://www.imdb.com/title/tt0078923/
Chikan shûdan,https://www.imdb.com/title/tt9783566/
Hitozuma gôkan,https://www.imdb.com/title/tt9783532/
Nozoki rankô,https://www.imdb.com/title/tt9783434/
Hentai fûfu,https://www.imdb.com/title/tt9783392/
Porno shocker: Onna henshitsusha,https://www.imdb.com/title/tt9783378/
La amante ingenua,https://www.imdb.com/title/tt1667683/
Yumrutzi v prastta,https://www.imdb.com/title/tt0356209/
The Stake and the Flame,https://www.imdb.com/title/tt0152241/
Wakazuma: Intô kurui,https://www.imdb.com/title/tt7975540/
Jokôsei: Kikenna Mebae,https://www.imdb.com/title/tt3426572/
Një gjeneral kapet rob,https://www.imdb.com/title/tt0353804/
Momoneun cheolbuji,https://www.imdb.com/title/tt0311537/
Nun Story: Frustration in Black,https://www.imdb.com/title/tt0287701/
Shaolin Hellgate,https://www.imdb.com/title/tt0080621/
Un sacco bello,https://www.imdb.com/title/tt0079839/
Kodengo Penal: The Valderama Case,https://www.imdb.com/title/tt2266773/
Olangthagee Wangmadasoo,https://www.imdb.com/title/tt1573878/
Pompa,https://www.imdb.com/title/tt0499546/
Zalim,https://www.imdb.com/title/tt0360228/
Za spichkami,https://www.imdb.com/title/tt0081796/
Windows,https://www.imdb.com/title/tt0081759/
Pozorisna veza,https://www.imdb.com/title/tt0081367/
Just Tell Me What You Want,https://www.imdb.com/title/tt0080975/
Solo Sunny,https://www.imdb.com/title/tt0079924/
Secrets of a French Maid,https://www.imdb.com/title/tt0079624/
El curso en que amamos a Kim Novak,https://www.imdb.com/title/tt0079017/
La noche del Ku-Klux-Klan,https://www.imdb.com/title/tt0341502/
La noche viene movida,https://www.imdb.com/title/tt0203743/
Abisa a los compañeros,https://www.imdb.com/title/tt0185139/
Prestop,https://www.imdb.com/title/tt0180932/
Kong shou ru bai ren,https://www.imdb.com/title/tt0081010/
She xing zui bu,https://www.imdb.com/title/tt0079897/
Colargol i cudowna walizka,https://www.imdb.com/title/tt0078983/
Très insuffisant,https://www.imdb.com/title/tt1832508/
Prune des bois,https://www.imdb.com/title/tt0258053/
Le soleil en face,https://www.imdb.com/title/tt0207744/
Les jeunes Québécoises,https://www.imdb.com/title/tt0151130/
Tous vedettes!,https://www.imdb.com/title/tt0080041/
Dôran,https://www.imdb.com/title/tt0312647/
Das gefrorene Herz,https://www.imdb.com/title/tt0079198/
Sarvasakshi,https://www.imdb.com/title/tt0311752/
Poloska neskoshennych dikikh tsvetov,https://www.imdb.com/title/tt0171640/
Wo ge wo qi,https://www.imdb.com/title/tt1829058/
Samchongsa: Taimmeosin 001,https://www.imdb.com/title/tt1773063/
Maeum yakaeseo,https://www.imdb.com/title/tt10526370/
Klondike Fever,https://www.imdb.com/title/tt0081004/
Danchizuma no kezori,https://www.imdb.com/title/tt9783186/
Tres manos,https://www.imdb.com/title/tt2266885/
Drigo asero,https://www.imdb.com/title/tt2266713/
Love Affair,https://www.imdb.com/title/tt0499517/
Dhan Daulat,https://www.imdb.com/title/tt0379246/
Bandish,https://www.imdb.com/title/tt0239249/
Do Premee,https://www.imdb.com/title/tt0231475/
The Godsend,https://www.imdb.com/title/tt0080802/
Jiu ge yu gui ji,https://www.imdb.com/title/tt7431064/
Dalryeora Man-seoka,https://www.imdb.com/title/tt0325219/
La ragazza del vagone letto,https://www.imdb.com/title/tt0124899/
Confidence,https://www.imdb.com/title/tt0078868/
Night of the Puppets,https://www.imdb.com/title/tt0293455/
Mamito,https://www.imdb.com/title/tt0280910/
Alors heureux?,https://www.imdb.com/title/tt0275909/
C'est encore loin l'Amérique?,https://www.imdb.com/title/tt0249422/
Le chemin perdu,https://www.imdb.com/title/tt0131338/
La légion saute sur Kolwezi,https://www.imdb.com/title/tt0079497/
Haine,https://www.imdb.com/title/tt0079260/
