Movie_Rank,Movie_Title,Movie_Rating,Genre,Rated,Runtime,Release Date
224,Hotel Rwanda,0.8042801018788437,"Biography, Drama, History",PG-13,2h 1min,4 February 2005 (USA)
225,Amores Perros,0.8041247434327243,"Drama, Thriller",R,2h 34min,13 April 2001 (USA)
226,Spotlight,0.8040318675825768,"Biography, Crime, Drama",R,2h 9min,20 November 2015 (USA)
227,Rang De Basanti,0.8038937244692702,"Comedy, Drama",Not Rated,2h 47min,26 January 2006 (USA)
228,Nausicaä of the Valley of the Wind,0.8037190123666905,"Animation, Adventure, Fantasy",PG,1h 57min,25 November 1987 (USA)
229,Rocky,0.8034561464848471,"Drama, Sport",PG,2h,3 December 1976 (USA)
230,La Haine,0.8033464598873665,"Crime, Drama",Not Rated,1h 38min,23 February 1996 (USA)
231,Rebecca,0.8032294913567777,"Drama, Mystery, Romance",Approved,2h 10min,12 April 1940 (USA)
232,"Monsters, Inc.",0.8031705452217681,"Animation, Adventure, Comedy",G,1h 32min,2 November 2001 (USA)
233,Gangs of Wasseypur,0.8026101113486395,"Action, Crime, Drama",R,5h 21min,22 June 2012 (India)
234,Portrait of a Lady on Fire,0.802190869353536,"Drama, Romance",R,2h 2min,14 February 2020 (USA)
235,It Happened One Night,0.8018982194035006,"Comedy, Romance",Approved,1h 45min,22 February 1934 (USA)
236,The Circus,0.8018452877447639,"Comedy, Romance",Passed,1h 12min,29 January 1928 (Canada)
237,Before Sunset,0.8017546928908678,"Drama, Romance",R,1h 20min,30 July 2004 (USA)
238,In the Mood for Love,0.8017529209375956,"Drama, Romance",PG,1h 38min,9 March 2001 (USA)
239,"Paris, Texas",0.8015099092415113,Drama,R,2h 25min,23 August 1984 (UK)
240,Drishyam,0.8013126393537169,"Crime, Drama, Mystery",Not Rated,2h 43min,31 July 2015 (USA)
241,The Help,0.801288685391593,Drama,PG-13,2h 26min,10 August 2011 (USA)
242,The Princess Bride,0.8011753472136529,"Adventure, Family, Fantasy",PG,1h 38min,9 October 1987 (USA)
243,The Invisible Guest,0.8011498690555696,6 January 2017 (Spain),1h 46min,"Crime, 
Mystery, 
Thriller",6 January 2017 (Spain)
244,The Terminator,0.8009070941494916,"Action, Sci-Fi",R,1h 47min,26 October 1984 (USA)
245,Fanny and Alexander,0.8006934995982066,Drama,R,3h 8min,17 December 1982 (Sweden)
246,The Battle of Algiers,0.8006455457109526,"Drama, War",Not Rated,2h 1min,20 September 1967 (USA)
247,PK,0.8006343173478486,"Comedy, Drama, Musical",Not Rated,2h 33min,19 December 2014 (India)
248,Aladdin,0.800631149594204,"Animation, Adventure, Comedy",G,1h 30min,25 November 1992 (USA)
249,A Silent Voice: The Movie,0.800617499080993,"Animation, Drama, Family",Not Rated,2h 10min,17 September 2016 (Japan)
250,Neon Genesis Evangelion: The End of Evangelion,0.8006159958852119,"Animation, Action, Drama",TV-14,1h 27min,2005 (Germany)
