Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Source
Cold Souls,54.0,"['Comedy', 'Drama']",101.0,PG-13,2010-05-05,5,2010,2010,Comedy,RT Audience
500 Days of Summer,84.0,"['Comedy', 'Drama', 'Romance']",95.0,PG-13,2009-08-07,8,2009,2000,Comedy,RT Audience
Humpday,51.0,"['Comedy', 'Drama', 'Romance']",94.0,R,2009-09-16,9,2009,2000,Comedy,RT Audience
Brooklyn's Finest,46.0,"['Crime', 'Drama', 'Thriller']",132.0,R,2010-03-05,3,2010,2010,Crime,RT Audience
Precious,81.0,['Drama'],110.0,R,2009-11-20,11,2009,2000,Drama,RT Audience
Chandni Chowk to China,31.0,"['Action', 'Comedy']",154.0,PG-13,2009-01-16,1,2009,2000,Action,RT Audience
Hotel for Dogs,54.0,"['Comedy', 'Family']",100.0,PG,2009-01-16,1,2009,2000,Comedy,RT Audience
Dead Snow,56.0,"['Comedy', 'Horror']",91.0,Not Rated,2009-01-09,1,2009,2000,Comedy,RT Audience
Not Easily Broken,67.0,"['Drama', 'Romance']",99.0,PG-13,2009-01-09,1,2009,2000,Drama,RT Audience
My Bloody Valentine,52.0,"['Horror', 'Mystery', 'Thriller']",101.0,R,2009-01-16,1,2009,2000,Horror,RT Audience
Paul Blart: Mall Cop,43.0,"['Action', 'Comedy', 'Crime']",91.0,PG,2009-01-16,1,2009,2000,Action,RT Audience
Bride Wars,51.0,"['Comedy', 'Romance']",89.0,PG,2009-01-09,1,2009,2000,Comedy,RT Audience
Fading of the Cries,39.0,"['Action', 'Fantasy', 'Horror']",94.0,R,2008-08-05,8,2008,2000,Action,RT Audience
Valkyrie,65.0,"['Drama', 'History', 'Thriller']",121.0,PG-13,2008-12-25,12,2008,2000,Drama,RT Audience
The Spirit,25.0,"['Action', 'Crime', 'Fantasy']",103.0,PG-13,2008-12-25,12,2008,2000,Action,RT Audience
Marley & Me,75.0,"['Comedy', 'Drama', 'Family']",115.0,PG,2008-12-25,12,2008,2000,Comedy,RT Audience
Bedtime Stories,55.0,"['Comedy', 'Family', 'Fantasy']",99.0,PG,2008-12-25,12,2008,2000,Comedy,RT Audience
Hipsters,90.0,"['Drama', 'Musical', 'Romance']",130.0,Not Rated,2011-10-05,10,2011,2010,Drama,RT Audience
Seven Pounds,75.0,['Drama'],123.0,PG-13,2008-12-19,12,2008,2000,Drama,RT Audience
Rudo y Cursi,66.0,"['Comedy', 'Drama', 'Sport']",103.0,R,2009-05-15,5,2009,2000,Comedy,RT Audience
Revolutionary Road,71.0,"['Drama', 'Romance']",119.0,R,2009-01-23,1,2009,2000,Drama,RT Audience
Ip Man,93.0,"['Action', 'Biography', 'Drama']",106.0,R,2008-12-12,12,2008,2000,Action,RT Audience
Inkheart,45.0,"['Adventure', 'Family', 'Fantasy']",106.0,PG,2009-01-23,1,2009,2000,Adventure,RT Audience
The Reader,40.0,"['Drama', 'Romance']",124.0,R,2009-01-30,1,2009,2000,Drama,RT Audience
Gran Torino,90.0,['Drama'],116.0,R,2009-01-09,1,2009,2000,Drama,RT Audience
Yes Man,66.0,"['Comedy', 'Romance']",104.0,PG-13,2008-12-19,12,2008,2000,Comedy,RT Audience
Punisher: War Zone,42.0,"['Action', 'Crime', 'Drama']",103.0,R,2008-12-05,12,2008,2000,Action,RT Audience
Give Me Your Hand,29.0,"['Drama', 'Romance']",80.0,Not Rated,2009-02-18,2,2009,2000,Drama,RT Audience
Transporter 3,49.0,"['Action', 'Thriller']",104.0,PG-13,2008-11-26,11,2008,2000,Action,RT Audience
Cadillac Records,65.0,"['Biography', 'Drama', 'Music']",109.0,R,2008-12-05,12,2008,2000,Biography,RT Audience
Four Christmases,47.0,"['Comedy', 'Drama', 'Romance']",88.0,PG-13,2008-11-26,11,2008,2000,Comedy,RT Audience
Australia,65.0,"['Adventure', 'Comedy', 'Drama']",165.0,PG-13,2008-11-26,11,2008,2000,Adventure,RT Audience
Twilight,73.0,"['Drama', 'Fantasy', 'Romance']",122.0,PG-13,2008-11-21,11,2008,2000,Drama,RT Audience
Winter in Wartime,78.0,"['Drama', 'History', 'War']",103.0,R,2008-11-27,11,2008,2000,Drama,RT Audience
Bolt,74.0,"['Animation', 'Adventure', 'Comedy']",96.0,PG,2008-11-21,11,2008,2000,Animation,RT Audience
The Heir Apparent: Largo Winch,49.0,"['Action', 'Adventure', 'Thriller']",108.0,Not Rated,2008-12-17,12,2008,2000,Action,RT Audience
Nothing Like the Holidays,42.0,"['Comedy', 'Drama', 'Romance']",98.0,PG-13,2008-12-12,12,2008,2000,Comedy,RT Audience
Last Chance Harvey,53.0,"['Drama', 'Romance']",93.0,PG-13,2009-01-16,1,2009,2000,Drama,RT Audience
Bronson,74.0,"['Action', 'Biography', 'Crime']",92.0,R,2009-03-13,3,2009,2000,Action,RT Audience
Doubt,78.0,"['Drama', 'Mystery']",104.0,PG-13,2008-12-25,12,2008,2000,Drama,RT Audience
Madagascar: Escape 2 Africa,66.0,"['Animation', 'Adventure', 'Comedy']",89.0,PG,2008-11-07,11,2008,2000,Animation,RT Audience
