Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
1980,5.001818181818176,5.1741379310344815,6.799999999999999,6.915000000000002,5.222869955156956,5.630499999999996,6.0090517241379295,5.4658536585365844,4.964835164835166,6.704,4.77875,5.488888888888888,5.534782608695653,5.167647058823531,5.4837209302325585,5.499999999999999,4.940625000000001,5.151748251748252,6.745454545454544,5.749999999999999
1990,4.856485355648533,5.337662337662336,7.031428571428572,6.731944444444442,5.435571687840287,5.7189090909090865,6.237565445026177,5.0954545454545475,5.273118279569894,6.824242424242423,4.461855670103092,5.9413043478260885,5.35,5.539603960396039,5.843589743589741,4.865060240963855,5.126086956521739,5.474129353233828,6.459999999999999,6.779999999999999
2000,4.923036649214661,5.284160756501183,5.870068027210882,6.181683168316829,5.081088825214897,5.291249999999995,5.894364292155088,5.103846153846154,4.96830357142857,6.449557522123895,4.4796992481203,5.6015503875969,5.340000000000002,5.174482758620691,5.411585365853657,4.9577181208053664,5.175257731958764,5.216284403669723,6.449397590361445,5.1000000000000005
2010,4.910137275607175,5.400928792569663,6.063157894736841,5.989408866995072,5.332069408740363,5.3735215053763365,5.8617738913179425,5.184571428571428,5.213355048859933,5.964766839378241,4.974464579901157,5.817482517482516,5.504166666666666,5.329867256637168,5.49895287958115,5.154929577464791,5.301388888888887,5.130434782608692,5.708045977011493,6.141025641025641
2020,5.5125,6.34,7.366666666666667,6.628571428571428,6.434615384615386,6.686666666666667,6.734374999999998,5.68,7.366666666666667,4.75,6.050000000000001,5.5,5.5,6.836363636363637,7.0,6.433333333333334,4.7,5.570588235294118,7.15,0.0
