Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Country,Source
Daddy's Little Girls,81.0,"['Drama', 'Romance']",100.0,PG-13,2007-02-14,2,2007,2000,Drama,USA,RT Audience
88 Minutes,44.0,"['Crime', 'Drama', 'Mystery']",108.0,R,2008-04-18,4,2008,2000,Crime,USA,RT Audience
The Walker,28.0,"['Crime', 'Drama', 'Mystery']",108.0,R,2007-08-10,8,2007,2000,Crime,USA,RT Audience
Irina Palm,77.0,['Drama'],103.0,R,2007-04-18,4,2007,2000,Drama,Belgium,RT Audience
Hot Fuzz,89.0,"['Action', 'Comedy', 'Mystery']",121.0,R,2007-04-20,4,2007,2000,Action,UK,RT Audience
2 Days in Paris,72.0,"['Comedy', 'Drama', 'Romance']",96.0,R,2007-08-31,8,2007,2000,Comedy,France,RT Audience
The Last Sin Eater,72.0,['Drama'],117.0,PG-13,2007-02-09,2,2007,2000,Drama,USA,RT Audience
Death at a Funeral,79.0,['Comedy'],90.0,R,2007-09-07,9,2007,2000,Comedy,USA,RT Audience
Music and Lyrics,68.0,"['Comedy', 'Music', 'Romance']",104.0,PG-13,2007-02-14,2,2007,2000,Comedy,USA,RT Audience
Norbit,53.0,"['Comedy', 'Romance']",102.0,PG-13,2007-02-09,2,2007,2000,Comedy,USA,RT Audience
La Vie En Rose,84.0,"['Biography', 'Drama', 'Music']",140.0,PG-13,2007-07-20,7,2007,2000,Biography,France,RT Audience
Hannibal Rising,55.0,"['Adventure', 'Crime', 'Drama']",121.0,R,2007-02-09,2,2007,2000,Adventure,UK,RT Audience
Because I Said So,65.0,"['Comedy', 'Romance']",102.0,PG-13,2007-02-02,2,2007,2000,Comedy,USA,RT Audience
The Messengers,44.0,"['Horror', 'Thriller']",90.0,PG-13,2007-02-02,2,2007,2000,Horror,USA,RT Audience
Ex Drummer,71.0,"['Comedy', 'Crime', 'Drama']",100.0,Not Rated,2007-01-31,1,2007,2000,Comedy,Belgium,RT Audience
Joshua,41.0,"['Drama', 'Horror', 'Thriller']",106.0,R,2007-07-13,7,2007,2000,Drama,USA,RT Audience
Broken English,62.0,"['Comedy', 'Drama', 'Romance']",93.0,PG-13,2008-07-16,7,2008,2000,Comedy,France,RT Audience
Starting Out in the Evening,70.0,"['Drama', 'Romance']",111.0,PG-13,2007-01-05,1,2007,2000,Drama,USA,RT Audience
Eagle vs Shark,67.0,"['Comedy', 'Romance']",88.0,R,2007-08-30,8,2007,2000,Comedy,New Zealand,RT Audience
Viva,39.0,"['Comedy', 'Drama', 'Musical']",120.0,R,2008-05-02,5,2008,2000,Comedy,USA,RT Audience
La question humaine,48.0,"['Drama', 'History', 'Music']",143.0,Not Rated,2007-09-12,9,2007,2000,Drama,France,RT Audience
Epic Movie,29.0,"['Adventure', 'Comedy']",86.0,PG-13,2007-01-26,1,2007,2000,Adventure,USA,RT Audience
Blood and Chocolate,52.0,"['Drama', 'Fantasy', 'Horror']",98.0,PG-13,2007-01-26,1,2007,2000,Drama,USA,RT Audience
Eight Miles High,54.0,"['Biography', 'Comedy', 'Drama']",114.0,Not Rated,2007-02-01,2,2007,2000,Biography,Germany,RT Audience
King of California,64.0,"['Comedy', 'Drama']",93.0,PG-13,2007-09-12,9,2007,2000,Comedy,USA,RT Audience
How She Move,51.0,['Drama'],94.0,PG-13,2008-01-25,1,2008,2000,Drama,Canada,RT Audience
Dark Matter,40.0,['Drama'],88.0,R,2008-04-24,4,2008,2000,Drama,USA,RT Audience
Trade,60.0,"['Crime', 'Drama', 'Thriller']",120.0,R,2007-10-18,10,2007,2000,Crime,Germany,RT Audience
