Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
1980,6.081201550387595,6.121329639889199,7.243243243243242,7.034615384615385,6.365820312499988,6.449385749385746,6.793822739480757,6.5219999999999985,6.01356783919598,7.215942028985508,5.603890160183066,6.413131313131314,6.664000000000002,6.179738562091502,6.536507936507935,5.696984924623117,6.397727272727274,6.078816199376942,6.910909090909092,6.394117647058823
1990,6.068079470198674,6.176623376623375,6.8288288288288275,7.034482758620688,6.249499374217769,6.441997264021887,6.70435406698566,5.870222222222225,6.057872340425536,7.036263736263736,5.504823151125402,6.639795918367346,6.918367346938772,6.401449275362318,6.475129533678757,5.570422535211268,6.117391304347826,6.184615384615386,7.1272727272727305,6.3136363636363635
2000,6.050635751682868,6.051700680272104,6.568600682593857,6.912132352941174,6.0726112326768895,6.32250000000001,6.547043141056703,5.913541666666667,5.975707547169815,6.8411764705882385,5.288432835820891,6.472538860103628,6.238317757009348,6.1179001721170385,6.300472972972974,5.647038327526135,6.212418300653597,5.943063583815024,6.78783783783784,5.554545454545455
2010,5.946074201898209,6.065716829919863,6.6257142857142854,6.761227786752824,6.052888761138253,6.214438502673809,6.432310258548772,6.2386301369863,5.905739130434783,6.620708446866484,5.211672131147544,6.454893617021277,6.442857142857146,5.932878270762223,6.308769716088337,5.59897785349233,6.507006369426752,5.832963320463326,6.552542372881359,6.205660377358489
2020,5.761538461538461,5.885714285714286,6.8875,6.8999999999999995,6.351219512195121,6.583999999999999,6.68780487804878,6.433333333333334,6.24,5.8999999999999995,5.513953488372095,6.933333333333334,6.4,6.3500000000000005,6.81,5.863636363636365,7.0,5.97,7.35,0.0
